turn_index,calls,decisions,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost,latency_ms,invalid_attempts,fallbacks,x_calls,latency_seconds,cumulative_cost,cumulative_input_tokens,cumulative_output_tokens,cumulative_reasoning_tokens,cumulative_total_tokens,cumulative_latency_seconds
0,2,2,2624,326,109,2950,0.003435,5783,0,0,2,5.783,0.003435,2624,326,109,2950,5.783
1,1,1,2113,895,584,3008,0.006588,10882,0,0,3,10.882,0.010023,4737,1221,693,5958,16.665
2,2,2,3635,2183,1840,5818,0.0083665,14437,0,0,5,14.437,0.0183895,8372,3404,2533,11776,31.102
3,11,11,28187,8294,6288,36481,0.0495846,90254,0,0,16,90.254,0.0679741,36559,11698,8821,48257,121.356
4,1,1,3425,255,149,3680,0.00371625,3398,0,0,17,3.398,0.07169035,39984,11953,8970,51937,124.754
5,2,2,8319,3356,1769,11675,0.025099,38474,0,0,19,38.474,0.09678935,48303,15309,10739,63612,163.228
6,11,10,52306,15519,11082,67825,0.08539675,113751,1,0,30,113.751,0.1821861,100609,30828,21821,131437,276.979
7,14,14,67209,16559,13294,83768,0.1132301,172013,0,0,44,172.013,0.2954162,167818,47387,35115,215205,448.992
8,1,1,4505,1089,987,5594,0.00827925,9050,0,0,45,9.05,0.30369545,172323,48476,36102,220799,458.042
9,2,2,8550,419,194,8969,0.008298,7095,0,0,47,7.095,0.31199345,180873,48895,36296,229768,465.137
10,0,0,0,0,0,0,0.0,0,0,0,47,0.0,0.31199345,180873,48895,36296,229768,465.137
11,2,2,10489,3069,1415,13558,0.025834,37097,0,0,49,37.097,0.33782745,191362,51964,37711,243326,502.234
12,5,5,28863,7395,5241,36258,0.047694,60795,0,0,54,60.795,0.38552145,220225,59359,42952,279584,563.029
13,2,2,11100,4067,3546,15167,0.017751,23940,0,0,56,23.94,0.40327245,231325,63426,46498,294751,586.969
14,8,8,42890,7418,5433,50308,0.06756775,102847,0,0,64,102.847,0.4708402,274215,70844,51931,345059,689.816
15,7,7,35362,6218,5075,41580,0.056329,63686,0,0,71,63.686,0.5271692,309577,77062,57006,386639,753.502
16,1,1,6770,2441,1211,9211,0.018975,29885,0,0,72,29.885,0.5461442,316347,79503,58217,395850,783.387
17,14,13,75095,17772,13118,92867,0.1347939,190596,1,0,86,190.596,0.6809381,391442,97275,71335,488717,973.983
18,17,17,90971,24400,19858,115371,0.14624015,195198,0,0,103,195.198,0.82717825,482413,121675,91193,604088,1169.181
19,11,11,56171,15297,12895,71468,0.1142132,154010,0,0,114,154.01,0.94139145,538584,136972,104088,675556,1323.191
20,0,0,0,0,0,0,0.0,0,0,0,114,0.0,0.94139145,538584,136972,104088,675556,1323.191
