turn_index,x_calls,model,model_display,calls,cost,latency_seconds,input_tokens,output_tokens,reasoning_tokens,total_tokens,cumulative_calls,cumulative_cost,cumulative_input_tokens,cumulative_output_tokens,cumulative_reasoning_tokens,cumulative_total_tokens,cumulative_latency_seconds
0,2,openai/gpt-5.4-mini,gpt-5.4-mini,2,0.003435,5.783,2624,326,109,2950,2,0.003435,2624,326,109,2950,5.783
0,2,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0
0,2,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0
0,2,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0
1,3,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,2,0.003435,2624,326,109,2950,5.783
1,3,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,0.006588,10.882,2113,895,584,3008,1,0.006588,2113,895,584,3008,10.882
1,3,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0
1,3,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0
2,5,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,2,0.003435,2624,326,109,2950,5.783
2,5,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,1,0.006588,2113,895,584,3008,10.882
2,5,google/gemini-3-flash-preview,gemini-3-flash-preview,2,0.0083665,14.437,3635,2183,1840,5818,2,0.0083665,3635,2183,1840,5818,14.437
2,5,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0
3,16,openai/gpt-5.4-mini,gpt-5.4-mini,4,0.01544055,31.734,10085,2480,1937,12565,6,0.01887555,12709,2806,2046,15515,37.517
3,16,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,0.008557,13.143,2572,1197,772,3769,2,0.015145,4685,2092,1356,6777,24.025
3,16,google/gemini-3-flash-preview,gemini-3-flash-preview,3,0.0118365,15.815,8325,2558,1904,10883,5,0.020203,11960,4741,3744,16701,30.252
3,16,x-ai/grok-4.3,grok-4.3,3,0.01375055,29.562,7205,2059,1675,9264,3,0.01375055,7205,2059,1675,9264,29.562
4,17,openai/gpt-5.4-mini,gpt-5.4-mini,1,0.00371625,3.398,3425,255,149,3680,7,0.0225918,16134,3061,2195,19195,40.915
4,17,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,2,0.015145,4685,2092,1356,6777,24.025
4,17,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,5,0.020203,11960,4741,3744,16701,30.252
4,17,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,3,0.01375055,7205,2059,1675,9264,29.562
5,19,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,7,0.0225918,16134,3061,2195,19195,40.915
5,19,anthropic/claude-haiku-4.5,claude-haiku-4.5,2,0.025099,38.474,8319,3356,1769,11675,4,0.040244,13004,5448,3125,18452,62.499
5,19,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,5,0.020203,11960,4741,3744,16701,30.252
5,19,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,3,0.01375055,7205,2059,1675,9264,29.562
6,30,openai/gpt-5.4-mini,gpt-5.4-mini,2,0.00912675,8.149,8107,677,440,8784,9,0.03171855,24241,3738,2635,27979,49.064
6,30,anthropic/claude-haiku-4.5,claude-haiku-4.5,2,0.026211,34.658,9871,3268,1893,13139,6,0.066455,22875,8716,5018,31591,97.157
6,30,google/gemini-3-flash-preview,gemini-3-flash-preview,7,0.050059,70.944,34328,11574,8749,45902,12,0.070262,46288,16315,12493,62603,101.196
6,30,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,3,0.01375055,7205,2059,1675,9264,29.562
7,44,openai/gpt-5.4-mini,gpt-5.4-mini,3,0.026739,43.125,13320,3722,3281,17042,12,0.05845755,37561,7460,5916,45021,92.189
7,44,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,0.011682,14.701,5207,1295,567,6502,7,0.078137,28082,10011,5585,38093,111.858
7,44,google/gemini-3-flash-preview,gemini-3-flash-preview,4,0.028768,37.464,22664,5812,4761,28476,16,0.09903,68952,22127,17254,91079,138.66
7,44,x-ai/grok-4.3,grok-4.3,6,0.0460411,76.723,26018,5730,4685,31748,9,0.05979165,33223,7789,6360,41012,106.285
8,45,openai/gpt-5.4-mini,gpt-5.4-mini,1,0.00827925,9.05,4505,1089,987,5594,13,0.0667368,42066,8549,6903,50615,101.239
8,45,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,7,0.078137,28082,10011,5585,38093,111.858
8,45,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,16,0.09903,68952,22127,17254,91079,138.66
8,45,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,9,0.05979165,33223,7789,6360,41012,106.285
9,47,openai/gpt-5.4-mini,gpt-5.4-mini,2,0.008298,7.095,8550,419,194,8969,15,0.0750348,50616,8968,7097,59584,108.334
9,47,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,7,0.078137,28082,10011,5585,38093,111.858
9,47,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,16,0.09903,68952,22127,17254,91079,138.66
9,47,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,9,0.05979165,33223,7789,6360,41012,106.285
10,47,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,15,0.0750348,50616,8968,7097,59584,108.334
10,47,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,7,0.078137,28082,10011,5585,38093,111.858
10,47,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,16,0.09903,68952,22127,17254,91079,138.66
10,47,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,9,0.05979165,33223,7789,6360,41012,106.285
11,49,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,15,0.0750348,50616,8968,7097,59584,108.334
11,49,anthropic/claude-haiku-4.5,claude-haiku-4.5,2,0.025834,37.097,10489,3069,1415,13558,9,0.103971,38571,13080,7000,51651,148.955
11,49,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,16,0.09903,68952,22127,17254,91079,138.66
11,49,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,9,0.05979165,33223,7789,6360,41012,106.285
12,54,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,15,0.0750348,50616,8968,7097,59584,108.334
12,54,anthropic/claude-haiku-4.5,claude-haiku-4.5,2,0.024737,31.102,11827,2582,1430,14409,11,0.128708,50398,15662,8430,66060,180.057
12,54,google/gemini-3-flash-preview,gemini-3-flash-preview,3,0.022957,29.693,17036,4813,3811,21849,19,0.121987,85988,26940,21065,112928,168.353
