turn_index,houses_remaining,hotels_remaining
0,32,12
1,32,12
2,32,12
3,32,12
4,32,12
5,32,12
6,32,12
7,32,12
8,32,12
9,32,12
10,32,12
11,32,12
12,32,12
13,32,12
14,32,12
15,32,12
16,32,12
17,32,12
18,32,12
19,32,12
20,32,12
21,32,12
22,32,12
23,32,12
24,32,12
25,32,12
26,32,12
27,32,12
28,32,12
29,32,12
30,32,12
31,32,12
32,32,12
33,32,12
34,32,12
35,32,12
36,32,12
37,32,12
38,32,12
39,32,12
40,32,12
41,32,12
42,32,12
43,32,12
44,32,12
45,32,12
46,32,12
47,32,12
48,32,12
49,32,12
50,32,12
51,32,12
52,32,12
53,32,12
54,32,12
55,32,12
56,32,12
57,32,12
58,32,12
59,32,12
60,32,12
61,32,12
62,32,12
63,32,12
64,31,12
65,31,12
66,31,12
67,29,12
68,29,12
69,29,12
70,29,12
71,28,12
72,28,12
73,28,12
74,28,12
75,28,12
76,26,12
77,26,12
78,26,12
79,23,12
80,23,12
81,23,12
82,23,12
83,23,12
84,22,12
85,22,12
86,22,12
87,22,12
88,20,12
89,20,12
90,20,12
91,20,12
92,20,12
93,20,12
94,19,12
95,19,12
96,19,12
97,19,12
98,19,12
99,19,12
100,19,12
101,19,12
102,19,12
103,16,12
104,15,12
105,15,12
106,15,12
107,15,12
108,15,12
109,15,10
110,15,12
111,15,12
112,15,12
113,14,12
114,14,12
115,14,12
116,14,12
117,14,12
118,14,12
119,14,12
120,14,12
121,12,12
122,12,12
123,12,12
124,12,12
125,12,12
126,12,12
127,12,12
128,12,12
129,12,12
130,12,12
131,12,12
132,12,12
133,11,12
134,11,12
135,11,12
136,11,12
137,11,12
138,11,12
139,11,12
140,11,12
141,11,12
142,11,12
143,11,12
144,11,12
145,11,12
146,11,12
147,11,12
148,11,12
149,11,12
150,11,12
151,11,12
152,11,12
153,11,12
154,11,12
155,11,12
156,11,12
157,11,12
158,11,12
159,11,12
160,11,12
161,11,12
162,11,12
163,11,12
164,11,12
165,11,12
166,11,12
167,11,12
168,2,12
169,2,12
170,2,12
171,2,12
172,0,12
173,0,12
174,2,12
175,2,12
176,2,12
177,2,12
178,2,12
179,2,12
180,2,12
181,0,12
182,0,12
183,0,12
184,0,12
185,0,12
186,0,12
187,0,12
188,0,12
189,0,12
190,0,12
191,0,12
192,0,12
193,0,12
194,0,12
195,0,12
196,0,12
197,0,12
198,0,12
199,0,12
200,0,12
201,0,12
202,0,12
203,0,12
204,0,12
205,0,12
206,0,12
207,0,12
208,0,12
209,0,12
210,0,12
211,0,12
212,0,12
213,0,12
214,0,12
215,0,12
216,0,12
217,0,12
218,0,12
219,0,12
220,0,12
221,0,12
222,0,12
223,0,12
224,0,12
225,0,12
226,0,12
227,0,12
228,0,12
229,0,12
230,0,12
231,0,12
232,0,12
233,0,12
234,0,12
235,0,12
236,0,12
237,0,12
238,0,12
239,0,12
240,0,12
241,0,12
242,0,12
243,0,12
244,0,12
245,0,12
246,0,12
247,0,12
248,0,12
249,0,12
250,0,12
251,0,12
252,0,12
253,0,12
254,0,12
255,0,12
256,0,12
257,0,12
258,0,12
259,0,12
260,0,12
261,2,12
262,0,12
263,3,12
264,5,12
265,6,12
266,0,12
267,0,12
268,0,12
269,0,12
270,0,12
271,0,12
272,0,12
273,1,12
