seq,turn_index,event_id,event_type,actor_player_id,payload
8,0,mock-44910-42ec35c5-evt-000008,PROPERTY_PURCHASED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 11, ""price"": 140}"
22,1,mock-44910-42ec35c5-evt-000022,PROPERTY_PURCHASED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 6, ""price"": 100}"
91,7,mock-44910-42ec35c5-evt-000091,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 9, ""price"": 120}"
105,8,mock-44910-42ec35c5-evt-000105,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 15, ""price"": 200}"
119,9,mock-44910-42ec35c5-evt-000119,PROPERTY_PURCHASED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 26, ""price"": 260}"
133,10,mock-44910-42ec35c5-evt-000133,PROPERTY_PURCHASED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 25, ""price"": 200}"
147,11,mock-44910-42ec35c5-evt-000147,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 16, ""price"": 180}"
161,12,mock-44910-42ec35c5-evt-000161,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 23, ""price"": 220}"
175,13,mock-44910-42ec35c5-evt-000175,PROPERTY_PURCHASED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 29, ""price"": 280}"
189,14,mock-44910-42ec35c5-evt-000189,PROPERTY_PURCHASED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 35, ""price"": 200}"
250,15,mock-44910-42ec35c5-evt-000250,PROPERTY_PURCHASED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 1, ""price"": 70}"
276,17,mock-44910-42ec35c5-evt-000276,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 27, ""price"": 260}"
290,18,mock-44910-42ec35c5-evt-000290,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 39, ""price"": 400}"
372,22,mock-44910-42ec35c5-evt-000372,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 12, ""price"": 100}"
503,28,mock-44910-42ec35c5-evt-000503,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 21, ""price"": 220}"
567,34,mock-44910-42ec35c5-evt-000567,PROPERTY_PURCHASED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 32, ""price"": 300}"
607,37,mock-44910-42ec35c5-evt-000607,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 31, ""price"": 300}"
723,40,mock-44910-42ec35c5-evt-000723,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 24, ""price"": 300}"
855,47,mock-44910-42ec35c5-evt-000855,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 37, ""price"": 222}"
901,48,mock-44910-42ec35c5-evt-000901,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 14, ""price"": 110}"
989,51,mock-44910-42ec35c5-evt-000989,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 5, ""price"": 200}"
1024,52,mock-44910-42ec35c5-evt-001024,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 18, ""price"": 180}"
1079,54,mock-44910-42ec35c5-evt-001079,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Gemini 3 Flash Preview"", ""to_player_id"": ""Grok 4.3"", ""space_index"": 21, ""mortgaged"": false}"
1133,55,mock-44910-42ec35c5-evt-001133,PROPERTY_PURCHASED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 8, ""price"": 90}"
1191,60,mock-44910-42ec35c5-evt-001191,PROPERTY_MORTGAGED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 1, ""amount"": 30}"
1197,60,mock-44910-42ec35c5-evt-001197,PROPERTY_MORTGAGED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 32, ""amount"": 150}"
1210,61,mock-44910-42ec35c5-evt-001210,PROPERTY_PURCHASED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 19, ""price"": 200}"
1246,62,mock-44910-42ec35c5-evt-001246,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""OpenAI GPT 5.4 Mini"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 8, ""mortgaged"": false}"
1303,66,mock-44910-42ec35c5-evt-001303,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 13, ""price"": 140}"
1322,66,mock-44910-42ec35c5-evt-001322,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""OpenAI GPT 5.4 Mini"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 11, ""mortgaged"": false}"
1328,66,mock-44910-42ec35c5-evt-001328,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 37, ""amount"": 175}"
1334,66,mock-44910-42ec35c5-evt-001334,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 12, ""amount"": 75}"
1458,70,mock-44910-42ec35c5-evt-001458,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 31, ""amount"": 150}"
1538,76,mock-44910-42ec35c5-evt-001538,PROPERTY_MORTGAGED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 26, ""amount"": 130}"
1564,76,mock-44910-42ec35c5-evt-001564,PROPERTY_MORTGAGED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 29, ""amount"": 140}"
1592,76,mock-44910-42ec35c5-evt-001592,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Gemini 3 Flash Preview"", ""to_player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 31, ""mortgaged"": true}"
1593,76,mock-44910-42ec35c5-evt-001593,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""OpenAI GPT 5.4 Mini"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 26, ""mortgaged"": true}"
1601,76,mock-44910-42ec35c5-evt-001601,PROPERTY_UNMORTGAGED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 31, ""amount"": 165}"
1662,79,mock-44910-42ec35c5-evt-001662,PROPERTY_MORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 5, ""amount"": 100}"
1723,84,mock-44910-42ec35c5-evt-001723,PROPERTY_UNMORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 5, ""amount"": 111}"
1881,98,mock-44910-42ec35c5-evt-001881,PROPERTY_MORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 5, ""amount"": 100}"
1887,98,mock-44910-42ec35c5-evt-001887,PROPERTY_MORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 15, ""amount"": 100}"
1893,98,mock-44910-42ec35c5-evt-001893,PROPERTY_MORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 27, ""amount"": 130}"
1899,98,mock-44910-42ec35c5-evt-001899,PROPERTY_MORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 39, ""amount"": 200}"
