turn_index,events
0,15
1,14
2,8
3,5
4,11
5,41
6,14
7,19
8,8
9,14
10,78
11,14
12,14
13,14
14,14
15,14
16,61
17,11
18,12
19,6
20,44
21,11
22,14
23,7
24,6
25,15
26,46
27,15
28,58
29,18
30,11
31,9
32,14
33,11
34,8
35,36
36,30
37,7
38,9
39,9
40,60
41,17
42,7
43,23
44,11
45,35
46,7
47,8
48,8
49,20
50,26
51,8
52,8
53,135
54,8
55,8
56,11
57,42
58,14
59,6
60,8
61,22
62,11
63,12
64,7
65,12
66,67
67,9
68,7
69,11
70,52
71,16
72,8
73,11
74,12
75,8
76,11
77,40
78,14
79,8
80,8
81,67
82,11
83,11
84,11
85,89
86,60
87,16
88,11
89,9
90,11
91,9
92,30
93,8
94,8
95,11
96,55
97,8
98,14
99,11
100,8
101,8
102,11
103,8
104,8
105,8
106,67
107,8
108,10
109,11
110,11
111,75
112,8
113,8
114,11
115,14
116,9
117,41
118,137
119,8
120,8
121,8
122,96
123,11
124,10
125,11
126,63
127,6
128,47
129,17
130,60
131,7
132,8
133,11
134,13
135,6
136,7
137,8
138,7
139,40
140,11
141,7
142,13
143,8
144,87
145,6
146,8
147,24
148,12
149,8
150,24
151,11
152,11
153,9
154,8
155,42
156,12
157,11
158,8
159,8
160,6
161,18
162,8
163,11
164,7
165,18
166,1
