turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,OpenAI GPT 5.5,2,0.01797,2574,170,43,2744,6119
1,Claude Opus 4.8,2,0.03862,5599,425,88,6024,8786
2,Gemini 3.1 Pro Preview,1,0.006514,1727,255,197,1982,3485
3,Gemini 3.1 Pro Preview,1,0.005678,1801,173,105,1974,3120
4,Grok 4.3,1,0.002913,1844,297,249,2141,4213
5,OpenAI GPT 5.5,2,0.027375,3477,333,197,3810,12688
6,Claude Opus 4.8,2,0.056245,7279,794,119,8073,13182
7,Gemini 3.1 Pro Preview,1,0.008168,2260,304,210,2564,4040
8,Gemini 3.1 Pro Preview,2,0.015052,4748,463,311,5211,7462
9,Grok 4.3,2,0.007974,4756,919,807,5675,11197
10,OpenAI GPT 5.5,2,0.04991,4606,896,761,5502,26234
11,Claude Opus 4.8,2,0.067485,9572,785,128,10357,15097
12,Gemini 3.1 Pro Preview,2,0.016974,5763,454,310,6217,7896
13,Grok 4.3,2,0.008446,5296,838,712,6134,8593
14,OpenAI GPT 5.5,2,0.048165,5259,729,559,5988,21486
15,OpenAI GPT 5.5,1,0.02312,2800,304,215,3104,10483
16,Claude Opus 4.8,2,0.080595,10739,1076,252,11815,18724
17,Gemini 3.1 Pro Preview,1,0.009806,3187,286,226,3473,3610
18,Grok 4.3,3,0.013994,8676,1421,1175,10097,14005
19,OpenAI GPT 5.5,2,0.050605,5717,734,581,6451,24081
20,Claude Opus 4.8,2,0.09547,11659,1487,299,13146,23399
21,Gemini 3.1 Pro Preview,1,0.011526,3321,407,332,3728,5136
22,Gemini 3.1 Pro Preview,1,0.010712,3358,333,271,3691,4593
23,Gemini 3.1 Pro Preview,2,0.02138,6538,692,544,7230,8586
24,Grok 4.3,2,0.010016,6250,989,863,7239,8629
25,Claude Opus 4.8,4,0.26507,28099,4983,735,33082,76403
25,Gemini 3.1 Pro Preview,5,0.081794,21817,3180,2470,24997,35934
25,Grok 4.3,2,0.012697,7857,1258,1100,9115,12534
25,OpenAI GPT 5.5,23,0.97708,86234,18197,15050,104431,506657
26,OpenAI GPT 5.5,1,0.034515,4023,480,409,4503,13086
27,Claude Opus 4.8,1,0.058095,7849,754,313,8603,14151
28,Claude Opus 4.8,1,0.051795,7654,541,192,8195,9438
29,Gemini 3.1 Pro Preview,3,0.042898,12455,1499,1223,13954,15891
30,Grok 4.3,1,0.005811,3634,561,494,4195,4900
31,Claude Opus 4.8,4,0.31749,26328,7434,928,33762,124840
31,Gemini 3.1 Pro Preview,3,0.036712,10586,1295,993,11881,17498
31,Grok 4.3,1,0.005337,3234,733,645,3967,6316
31,OpenAI GPT 5.5,3,0.077205,9633,968,694,10601,27981
32,OpenAI GPT 5.5,2,0.06282,6696,978,749,7674,26814
33,Claude Opus 4.8,3,0.25009,21103,5783,670,26886,90429
33,Gemini 3.1 Pro Preview,2,0.04075,7745,2105,1733,9850,20424
34,Gemini 3.1 Pro Preview,1,0.01883,4195,870,753,5065,9294
35,Claude Opus 4.8,3,0.25123,23076,5434,649,28510,77974
35,Gemini 3.1 Pro Preview,4,0.081074,16873,3944,3327,20817,39682
36,Grok 4.3,2,0.011582,7361,1060,893,8421,10570
37,Claude Opus 4.8,3,0.210975,22220,3995,606,26215,61147
37,Gemini 3.1 Pro Preview,2,0.025654,7973,809,578,8782,10576
37,Grok 4.3,3,0.018091,11346,2128,1806,13474,18535
37,OpenAI GPT 5.5,3,0.067375,10553,487,214,11040,19372
38,Claude Opus 4.8,2,0.196045,16524,4537,508,21061,62313
39,Gemini 3.1 Pro Preview,2,0.039296,8884,1794,1561,10678,18611
40,Claude Opus 4.8,1,0.04531,7142,384,94,7526,8158
40,Gemini 3.1 Pro Preview,1,0.01078,3884,251,174,4135,3556
40,Grok 4.3,3,0.016998,11069,1829,1607,12898,15876
40,OpenAI GPT 5.5,1,0.02661,3348,329,239,3677,8815
41,Claude Opus 4.8,2,0.1061,14250,1394,317,15644,21471
41,Gemini 3.1 Pro Preview,2,0.026186,7771,887,669,8658,9831
41,Grok 4.3,4,0.023554,14782,2649,2219,17431,21608
41,OpenAI GPT 5.5,11,0.491233,38363,10403,9119,48766,284329
42,Claude Opus 4.8,2,0.16635,16075,3439,459,19514,49460
43,Gemini 3.1 Pro Preview,1,0.014304,4422,455,374,4877,5626
44,Grok 4.3,1,0.006476,4002,643,577,4645,4051
45,Claude Opus 4.8,1,0.04141,6982,260,51,7242,5028
45,Gemini 3.1 Pro Preview,11,0.1292,43282,3553,2527,46835,46523
45,Grok 4.3,3,0.015612,11200,1048,858,12248,12570
45,OpenAI GPT 5.5,12,0.36606,43752,4910,3853,48662,142655
46,Gemini 3.1 Pro Preview,1,0.01622,3892,703,597,4595,7842
46,Grok 4.3,1,0.005517,3822,511,426,4333,4442
46,OpenAI GPT 5.5,3,0.19752,10830,4779,4429,15609,125430
47,Claude Opus 4.8,4,0.29303,28256,6070,752,34326,91850
47,Gemini 3.1 Pro Preview,3,0.04725,11253,2062,1750,13315,29833
47,Grok 4.3,1,0.006624,3645,881,774,4526,6844
47,OpenAI GPT 5.5,2,0.068495,6991,1118,925,8109,32738
48,Gemini 3.1 Pro Preview,2,0.038078,8275,1794,1627,10069,18615
49,Grok 4.3,1,0.004967,3872,454,397,4326,4337
50,Claude Opus 4.8,1,0.045845,7314,371,46,7685,6734
50,Gemini 3.1 Pro Preview,1,0.016514,3865,732,607,4597,7625
50,Grok 4.3,3,0.017448,11315,1967,1656,13282,15500
50,OpenAI GPT 5.5,8,0.48878,28804,11492,10489,40296,303567
51,Claude Opus 4.8,2,0.13981,15757,2441,383,18198,34964
