turn_index,events
0,15
1,14
2,10
3,8
4,8
5,14
6,14
7,11
8,16
9,8
10,14
11,14
12,15
13,14
14,14
15,9
16,14
17,10
18,14
19,15
20,14
21,11
22,11
23,14
24,9
25,202
26,13
27,8
28,9
29,21
30,11
31,61
32,19
33,24
34,11
35,36
36,14
37,61
38,16
39,15
40,38
41,98
42,17
43,11
44,11
45,142
46,30
47,51
48,17
49,11
50,71
51,17
52,17
53,66
54,17
55,65
56,31
57,11
58,11
59,56
60,11
61,11
62,11
63,9
64,49
65,11
66,8
67,7
68,8
69,8
70,11
71,7
72,6
73,12
74,11
75,7
76,7
77,36
78,8
79,279
80,7
81,29
82,8
83,11
84,18
85,33
86,11
87,11
88,116
89,17
90,8
91,27
92,12
93,8
94,8
95,9
96,8
97,11
98,23
99,58
100,9
101,11
102,12
103,36
104,8
105,60
106,64
107,8
108,18
109,8
110,17
111,6
112,8
113,23
114,18
115,8
116,51
117,14
118,8
119,44
120,8
121,8
122,19
123,38
124,29
125,9
126,15
127,9
128,11
129,8
130,22
131,11
132,20
133,8
134,10
135,8
136,15
137,19
138,23
139,9
140,8
141,10
142,28
143,8
144,18
145,11
146,5
147,8
148,7
149,8
150,7
151,8
152,24
153,8
154,12
155,10
156,8
157,28
158,8
159,6
160,20
161,7
162,9
163,22
164,12
165,18
166,8
167,28
168,7
169,33
170,8
171,7
172,46
173,12
174,15
175,8
176,8
177,11
178,27
179,11
180,23
181,10
182,11
183,9
184,8
185,8
186,8
187,14
188,8
189,8
190,18
191,1
