evidence_id,artifact_type,provenance,source_path,run_relative_source_path,locator_type,locator,source_locator,source_object_id,source_sequence,source_turn,source_attempt,description,referenced_outputs_json,referenced_sections_json,referenced_outputs_sections,resolution_status
EVD-ANALYSIS-EXPANDED-METRICS-AUCTION-EPISODES-CSV,deterministic_analysis_index,generated_review_record,analysis/expanded_metrics/auction_episodes.csv,analysis/expanded_metrics/auction_episodes.csv,source_locator,whole_file,whole_file,analysis/expanded_metrics/auction_episodes.csv,,,,Pre-existing deterministic analysis artifact analysis/expanded_metrics/auction_episodes.csv,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-EXPANDED-METRICS-DECISION-METRICS-CSV,deterministic_analysis_index,generated_review_record,analysis/expanded_metrics/decision_metrics.csv,analysis/expanded_metrics/decision_metrics.csv,source_locator,whole_file,whole_file,analysis/expanded_metrics/decision_metrics.csv,,,,Pre-existing deterministic analysis artifact analysis/expanded_metrics/decision_metrics.csv,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-EXPANDED-METRICS-MORTGAGE-EPISODES-CSV,deterministic_analysis_index,generated_review_record,analysis/expanded_metrics/mortgage_episodes.csv,analysis/expanded_metrics/mortgage_episodes.csv,source_locator,whole_file,whole_file,analysis/expanded_metrics/mortgage_episodes.csv,,,,Pre-existing deterministic analysis artifact analysis/expanded_metrics/mortgage_episodes.csv,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-EXPANDED-METRICS-SUMMARY-JSON,deterministic_analysis_index,generated_review_record,analysis/expanded_metrics/summary.json,analysis/expanded_metrics/summary.json,source_locator,whole_file,whole_file,analysis/expanded_metrics/summary.json,,,,Pre-existing deterministic analysis artifact analysis/expanded_metrics/summary.json,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-EXPANDED-METRICS-TRADE-EPISODES-CSV,deterministic_analysis_index,generated_review_record,analysis/expanded_metrics/trade_episodes.csv,analysis/expanded_metrics/trade_episodes.csv,source_locator,whole_file,whole_file,analysis/expanded_metrics/trade_episodes.csv,,,,Pre-existing deterministic analysis artifact analysis/expanded_metrics/trade_episodes.csv,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-MANIFESTS-SOURCE-ARTIFACT-HASHES-JSON,deterministic_analysis_index,generated_review_record,analysis/manifests/source_artifact_hashes.json,analysis/manifests/source_artifact_hashes.json,source_locator,whole_file,whole_file,analysis/manifests/source_artifact_hashes.json,,,,Pre-existing deterministic analysis artifact analysis/manifests/source_artifact_hashes.json,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-QUALITY-ARTIFACT-COMPLETENESS-JSON,deterministic_analysis_index,generated_review_record,analysis/quality/artifact_completeness.json,analysis/quality/artifact_completeness.json,source_locator,whole_file,whole_file,analysis/quality/artifact_completeness.json,,,,Pre-existing deterministic analysis artifact analysis/quality/artifact_completeness.json,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-QUALITY-CALL-RECONCILIATION-JSON,deterministic_analysis_index,generated_review_record,analysis/quality/call_reconciliation.json,analysis/quality/call_reconciliation.json,source_locator,whole_file,whole_file,analysis/quality/call_reconciliation.json,,,,Pre-existing deterministic analysis artifact analysis/quality/call_reconciliation.json,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-QUALITY-QUALITY-FLAGS-JSON,deterministic_analysis_index,generated_review_record,analysis/quality/quality_flags.json,analysis/quality/quality_flags.json,source_locator,whole_file,whole_file,analysis/quality/quality_flags.json,,,,Pre-existing deterministic analysis artifact analysis/quality/quality_flags.json,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-QUALITY-REPLAY-VERIFICATION-JSON,deterministic_analysis_index,generated_review_record,analysis/quality/replay_verification.json,analysis/quality/replay_verification.json,source_locator,whole_file,whole_file,analysis/quality/replay_verification.json,,,,Pre-existing deterministic analysis artifact analysis/quality/replay_verification.json,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-REPORTS-INTEGRITY-REPORT-MD,deterministic_analysis_index,generated_review_record,analysis/reports/integrity_report.md,analysis/reports/integrity_report.md,source_locator,whole_file,whole_file,analysis/reports/integrity_report.md,,,,Pre-existing deterministic analysis artifact analysis/reports/integrity_report.md,[],[],[],resolved_frozen_artifact
EVD-ANALYSIS-TABLES-STATE-BY-TURN-PLAYER-CSV,deterministic_analysis_index,generated_review_record,analysis/tables/state_by_turn_player.csv,analysis/tables/state_by_turn_player.csv,source_locator,whole_file,whole_file,analysis/tables/state_by_turn_player.csv,,,,Pre-existing deterministic analysis artifact analysis/tables/state_by_turn_player.csv,[],[],[],resolved_frozen_artifact
EVD-PROMPT-000000-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000000_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000000_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000000;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000000;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000000,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000000, attempt 0",[],[],[],resolved_frozen_artifact
