call_index,turn_index,decision_id,player_id,model_id,provider_model,provider_name,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,fallback_reason,missing_usage_attempts,latency_ms,input_tokens,output_tokens,total_tokens,reasoning_tokens,cached_tokens,cost
15,9,mock-83265-81ed4937-dec-000014,Grok 4.3,x-ai/grok-4.3,x-ai/grok-4.3-20260430,xAI,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,,0,11307,4756,919,5675,807,256,0.0079737
31,18,mock-83265-81ed4937-dec-000030,Grok 4.3,x-ai/grok-4.3,x-ai/grok-4.3-20260430,xAI,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,,0,9490,6080,924,7004,771,256,0.009641199999999999
40,24,mock-83265-81ed4937-dec-000039,Grok 4.3,x-ai/grok-4.3,x-ai/grok-4.3-20260430,xAI,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,,0,8734,6250,989,7239,863,256,0.0100162
97,33,mock-83265-81ed4937-dec-000096,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview-20260219,Google AI Studio,TRADE_RESPONSE_DECISION,reject_trade,2,2,True,True,illogical_after_retry,0,20533,7745,2105,9850,1733,0,0.04075
101,35,mock-83265-81ed4937-dec-000100,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,TRADE_RESPONSE_DECISION,counter_trade,2,1,True,False,,0,50867,15333,3594,18927,376,0,0.166515
135,41,mock-83265-81ed4937-dec-000134,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,AUCTION_BID_DECISION,drop_out,2,1,True,False,,0,21245,6741,766,7507,567,2816,0.044013
187,47,mock-83265-81ed4937-dec-000186,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,AUCTION_BID_DECISION,drop_out,2,2,True,True,malformed_after_retry,0,43860,14092,2870,16962,289,0,0.14221
262,64,mock-83265-81ed4937-dec-000261,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,LIQUIDATION_DECISION,sell_houses_or_hotel,2,1,True,False,,0,23786,14040,1778,15818,268,0,0.11465
283,79,mock-83265-81ed4937-dec-000282,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview-20260219,Google AI Studio,TRADE_RESPONSE_DECISION,counter_trade,2,1,True,False,,0,16485,7817,1777,9594,1418,0,0.036958
285,79,mock-83265-81ed4937-dec-000284,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview-20260219,Google AI Studio,TRADE_RESPONSE_DECISION,counter_trade,2,1,True,False,,0,16613,8186,1681,9867,1411,0,0.036544
302,79,mock-83265-81ed4937-dec-000301,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,TRADE_RESPONSE_DECISION,reject_trade,2,1,True,False,,0,42491,17336,2901,20237,345,0,0.15920499999999999
319,79,mock-83265-81ed4937-dec-000318,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview-20260219,Google AI Studio,TRADE_RESPONSE_DECISION,counter_trade,2,1,True,False,,0,19086,10726,1777,12503,1396,0,0.042776
327,79,mock-83265-81ed4937-dec-000326,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,TRADE_RESPONSE_DECISION,reject_trade,2,1,True,False,,0,32996,20086,2217,22303,391,0,0.155855
353,88,mock-83265-81ed4937-dec-000352,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview-20260219,Google AI Studio,TRADE_RESPONSE_DECISION,counter_trade,2,1,True,False,,0,14765,8835,1534,10369,1217,0,0.036078
379,97,mock-83265-81ed4937-dec-000378,Grok 4.3,x-ai/grok-4.3,x-ai/grok-4.3-20260430,xAI,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,,0,8907,7690,1122,8812,990,256,0.0121487
387,99,mock-83265-81ed4937-dec-000386,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,unmortgage_property,2,1,True,False,,0,131362,7656,4697,12353,4460,3328,0.164214
388,99,mock-83265-81ed4937-dec-000387,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,unmortgage_property,2,1,True,False,,0,141006,7642,5141,12783,4878,3328,0.177464
390,99,mock-83265-81ed4937-dec-000389,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,unmortgage_property,2,1,True,False,,1,54304,3821,1269,5090,1172,0,0.057175
392,99,mock-83265-81ed4937-dec-000391,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,,0,87373,7624,2789,10413,2532,0,0.12179000000000001
433,114,mock-83265-81ed4937-dec-000432,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,LIQUIDATION_DECISION,sell_houses_or_hotel,2,1,True,False,,0,132028,7170,5390,12560,5082,3328,0.18257400000000001
434,114,mock-83265-81ed4937-dec-000433,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,,0,117754,7389,4020,11409,3936,3328,0.142569
