event_type,count
LLM_DECISION_REQUESTED,583
LLM_DECISION_RESPONSE,583
LLM_PUBLIC_MESSAGE,583
LLM_PRIVATE_THOUGHT,583
CASH_CHANGED,314
PLAYER_MOVED,198
DICE_ROLLED,194
TURN_STARTED,191
TURN_ENDED,191
TRADE_PROPOSED,69
TRADE_REJECTED,59
AUCTION_BID_PLACED,57
HOUSE_BUILT,48
PROPERTY_PURCHASED,43
RENT_PAID,42
PROPERTY_MORTGAGED,41
TRADE_COUNTERED,27
AUCTION_PLAYER_DROPPED,27
CARD_DRAWN,25
PROPERTY_UNMORTGAGED,21
HOUSE_SOLD,18
PROPERTY_TRANSFERRED,15
HOTEL_BUILT,15
TRADE_ACCEPTED,10
AUCTION_STARTED,9
AUCTION_ENDED,9
HOTEL_SOLD,9
SENT_TO_JAIL,6
GAME_STARTED,1
GAME_ENDED,1
