player_id,reason,events,delta
OpenAI GPT 5.5,buy_property,7,-1360.0
Claude Opus 4.8,buy_property,6,-1100.0
Gemini 3.1 Pro Preview,BANK_ERROR_COLLECT_200,1,200.0
Gemini 3.1 Pro Preview,PASS_GO,7,1400.0
Gemini 3.1 Pro Preview,buy_property,3,-820.0
Grok 4.3,buy_property,3,-640.0
OpenAI GPT 5.5,TAX_LUXURY,2,-200.0
Gemini 3.1 Pro Preview,LIFE_INSURANCE_COLLECT_100,1,100.0
OpenAI GPT 5.5,PASS_GO,12,2400.0
Gemini 3.1 Pro Preview,RENT,19,-1846.0
OpenAI GPT 5.5,RENT,24,4832.0
Claude Opus 4.8,RENT,24,-859.0
Grok 4.3,PASS_GO,5,1000.0
OpenAI GPT 5.5,TRADE_CASH,9,-1390.0
Claude Opus 4.8,TRADE_CASH,3,270.0
OpenAI GPT 5.5,BUILD,28,-7100.0
OpenAI GPT 5.5,MORTGAGE,24,2325.0
Gemini 3.1 Pro Preview,TRADE_CASH,7,850.0
Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,3,-28.0
Claude Opus 4.8,PASS_GO,8,1600.0
Gemini 3.1 Pro Preview,UNMORTGAGE,5,-723.0
Grok 4.3,RENT,17,-2127.0
Gemini 3.1 Pro Preview,auction_bid,2,-680.0
OpenAI GPT 5.5,BUILDING_LOAN_MATURES_RECEIVE_150,1,150.0
Claude Opus 4.8,auction_bid,1,-280.0
Claude Opus 4.8,BUILD,9,-1000.0
Gemini 3.1 Pro Preview,BUILD,3,-1200.0
OpenAI GPT 5.5,auction_bid,4,-324.0
Grok 4.3,auction_bid,2,-240.0
OpenAI GPT 5.5,BEAUTY_CONTEST_COLLECT_10,1,10.0
Gemini 3.1 Pro Preview,MORTGAGE,7,1000.0
Gemini 3.1 Pro Preview,PAY_POOR_TAX_15,1,-15.0
Grok 4.3,MORTGAGE,5,550.0
OpenAI GPT 5.5,UNMORTGAGE,16,-2134.0
Claude Opus 4.8,MORTGAGE,5,560.0
Claude Opus 4.8,SELL_BUILDING,1,125.0
Grok 4.3,SCHOOL_FEES_PAY_50,1,-50.0
Gemini 3.1 Pro Preview,SELL_BUILDING,4,600.0
OpenAI GPT 5.5,JAIL_FINE,2,-100.0
OpenAI GPT 5.5,MORTGAGE_INTEREST,3,-33.0
Grok 4.3,TRADE_CASH,1,270.0
Claude Opus 4.8,JAIL_FINE,1,-50.0
Claude Opus 4.8,TAX_LUXURY,2,-200.0
OpenAI GPT 5.5,DOCTOR_FEE_PAY_50,1,-50.0
Grok 4.3,BANKRUPTCY_CASH,1,-263.0
OpenAI GPT 5.5,BANKRUPTCY_CASH,3,877.0
Grok 4.3,BANKRUPTCY,1,0.0
OpenAI GPT 5.5,SELL_BUILDING,6,1350.0
Claude Opus 4.8,BANK_PAYS_YOU_DIVIDEND_50,1,50.0
Gemini 3.1 Pro Preview,BANKRUPTCY_CASH,1,-338.0
Gemini 3.1 Pro Preview,BANKRUPTCY,1,0.0
Claude Opus 4.8,TAX_INCOME,2,-400.0
OpenAI GPT 5.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,-10.0
Claude Opus 4.8,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,10.0
OpenAI GPT 5.5,CONSULTANCY_FEE_COLLECT_25,1,25.0
OpenAI GPT 5.5,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,-50.0
Claude Opus 4.8,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,50.0
Claude Opus 4.8,BANKRUPTCY_CASH,1,-276.0
Claude Opus 4.8,BANKRUPTCY,1,0.0
