turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,2,0.01797,2574,170,43,2744,6119
1,2,0.03862,5599,425,88,6024,8786
2,1,0.006514,1727,255,197,1982,3485
3,1,0.005678,1801,173,105,1974,3120
4,1,0.002913,1844,297,249,2141,4213
5,2,0.027375,3477,333,197,3810,12688
6,2,0.056245,7279,794,119,8073,13182
7,1,0.008168,2260,304,210,2564,4040
8,2,0.015052,4748,463,311,5211,7462
9,2,0.007974,4756,919,807,5675,11197
10,2,0.04991,4606,896,761,5502,26234
11,2,0.067485,9572,785,128,10357,15097
12,2,0.016974,5763,454,310,6217,7896
13,2,0.008446,5296,838,712,6134,8593
14,2,0.048165,5259,729,559,5988,21486
15,1,0.02312,2800,304,215,3104,10483
16,2,0.080595,10739,1076,252,11815,18724
17,1,0.009806,3187,286,226,3473,3610
18,3,0.013994,8676,1421,1175,10097,14005
19,2,0.050605,5717,734,581,6451,24081
20,2,0.09547,11659,1487,299,13146,23399
21,1,0.011526,3321,407,332,3728,5136
22,1,0.010712,3358,333,271,3691,4593
23,2,0.02138,6538,692,544,7230,8586
24,2,0.010016,6250,989,863,7239,8629
25,34,1.336641,144007,27618,19355,171625,631528
26,1,0.034515,4023,480,409,4503,13086
27,1,0.058095,7849,754,313,8603,14151
28,1,0.051795,7654,541,192,8195,9438
29,3,0.042898,12455,1499,1223,13954,15891
30,1,0.005811,3634,561,494,4195,4900
31,11,0.436744,49781,10430,3260,60211,176635
32,2,0.06282,6696,978,749,7674,26814
33,5,0.29084,28848,7888,2403,36736,110853
34,1,0.01883,4195,870,753,5065,9294
35,7,0.332304,39949,9378,3976,49327,117656
36,2,0.011582,7361,1060,893,8421,10570
37,11,0.322095,52092,7419,3204,59511,109630
38,2,0.196045,16524,4537,508,21061,62313
39,2,0.039296,8884,1794,1561,10678,18611
40,6,0.099698,25443,2793,2114,28236,36405
41,19,0.647073,75166,15333,12324,90499,337239
42,2,0.16635,16075,3439,459,19514,49460
43,1,0.014304,4422,455,374,4877,5626
44,1,0.006476,4002,643,577,4645,4051
45,27,0.552282,105216,9771,7289,114987,206776
