turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,2,0.033555,5146,313,31,5459,8061
1,2,0.011054,3109,403,284,3512,6747
2,2,0.00566,3575,611,478,4186,12235
3,7,0.111961,16258,2528,1674,18786,69799
4,2,0.054455,8741,430,75,9171,10915
5,1,0.008728,2828,256,183,3084,3927
6,2,0.008119,5598,610,471,6208,13229
7,7,0.168553,23502,3164,2138,26666,84411
8,2,0.071755,11376,595,126,11971,14348
9,2,0.019298,6667,497,342,7164,8133
10,1,0.005458,3440,544,429,3984,10614
11,7,0.190291,26029,3684,2639,29713,105090
12,1,0.03988,6461,303,85,6764,6573
13,2,0.07568,12471,533,122,13004,12447
14,2,0.024212,7072,839,654,7911,10400
15,3,0.013375,10157,648,480,10805,21440
17,2,0.08691,12322,1012,205,13334,17737
18,1,0.01639,3773,737,606,4510,8283
19,1,0.00469,3676,468,391,4144,8028
20,19,0.663777,84603,11684,7216,96287,286167
21,2,0.092675,14785,750,156,15535,16686
22,2,0.092885,14972,721,104,15693,14628
23,1,0.015826,4499,569,477,5068,7231
24,9,0.144342,36604,3673,2635,40277,69631
25,1,0.005457,3643,415,330,4058,8523
26,9,0.34433,35208,7929,6519,43137,191920
27,1,0.049415,7238,529,151,7767,8610
28,1,0.01262,4144,361,299,4505,5218
29,1,0.011304,4086,261,205,4347,3946
30,1,0.005587,3895,368,282,4263,7215
31,8,0.330372,33408,7274,6006,40682,165203
32,1,0.026145,3645,264,183,3909,6238
33,1,0.049995,7129,574,183,7703,8556
35,12,0.32248,52054,7159,3581,59213,132718
36,1,0.005666,3642,526,448,4168,9382
37,12,0.589319,49559,14431,12176,63990,321975
38,9,0.23265,42665,3450,1809,46115,74689
39,2,0.029838,7491,1238,1096,8729,15386
40,1,0.005274,3709,309,241,4018,7224
41,9,0.457763,37537,10812,8965,48349,364028
43,2,0.023448,7404,720,585,8124,9233
44,1,0.005911,3814,538,472,4352,8102
45,1,0.035515,3521,597,516,4118,15920
46,1,0.047025,6260,629,122,6889,12674
47,2,0.026522,7333,988,857,8321,14913
48,1,0.004629,3779,392,317,4171,6609
49,8,0.169186,32439,4698,2840,37137,83248
51,1,0.03536,5642,286,81,5928,6402
52,1,0.013948,3446,588,521,4034,6413
53,1,0.012074,3439,433,365,3872,6353
54,1,0.004834,3453,449,362,3902,7641
55,1,0.036555,2973,723,637,3696,16950
56,3,0.112345,17329,1028,195,18357,18948
57,2,0.11723,11936,2302,392,14238,36111
58,2,0.024188,6688,901,744,7589,11193
59,1,0.004595,3528,316,240,3844,6817
60,1,0.0323,3034,571,461,3605,14196
61,9,0.30841,38215,6986,4221,45201,118976
63,1,0.004602,3716,413,333,4129,6898
64,7,0.283593,24702,6817,5981,31519,157247
65,13,0.720616,58344,17778,14966,76122,398051
66,1,0.073675,7995,1348,278,9343,22312
67,1,0.07066,7912,1244,255,9156,19100
