turn_index,space_index,space_name,space_kind,space_group,price,owner_id,mortgaged,houses,hotel
1,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Claude Opus 4.8,False,0,False
2,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Claude Opus 4.8,False,0,False
2,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,Gemini 3.1 Pro Preview,False,0,False
3,5,Reading Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
3,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Claude Opus 4.8,False,0,False
3,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,Gemini 3.1 Pro Preview,False,0,False
4,5,Reading Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
4,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Claude Opus 4.8,False,0,False
4,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,Gemini 3.1 Pro Preview,False,0,False
5,5,Reading Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
5,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Claude Opus 4.8,False,0,False
5,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,Gemini 3.1 Pro Preview,False,0,False
5,11,St. Charles Place,PROPERTY,PINK,140,Claude Opus 4.8,False,0,False
6,5,Reading Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
6,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Claude Opus 4.8,False,0,False
6,9,Connecticut Avenue,PROPERTY,LIGHT_BLUE,120,Gemini 3.1 Pro Preview,False,0,False
6,11,St. Charles Place,PROPERTY,PINK,140,Claude Opus 4.8,False,0,False
7,5,Reading Railroad,RAILROAD,RAILROAD,200,Grok 4.3,False,0,False
7,6,Oriental Avenue,PROPERTY,LIGHT_BLUE,100,Claude Opus 4.8,False,0,False
