seq,turn_index,event_type,player_id,payload
0,0,GAME_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-64394-c3bb8d94-evt-000000"", ""payload"": {}, ""run_id"": ""mock-64394-c3bb8d94"", ""schema_version"": ""v1"", ""seq"": 0, ""ts_ms"": 0, ""turn_index"": 0, ""type"": ""GAME_STARTED""}"
1,0,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-64394-c3bb8d94-evt-000001"", ""payload"": {}, ""run_id"": ""mock-64394-c3bb8d94"", ""schema_version"": ""v1"", ""seq"": 1, ""ts_ms"": 250, ""turn_index"": 0, ""type"": ""TURN_STARTED""}"
2,0,DICE_ROLLED,,"{""d1"": 6, ""d2"": 6, ""is_double"": true}"
3,0,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 12}"
4,0,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-64394-c3bb8d94-dec-000000"", ""decision_type"": ""BUY_OR_AUCTION_DECISION"", ""player_id"": ""OpenAI GPT 5.4 mini""}"
5,0,LLM_DECISION_RESPONSE,,"{""action_name"": ""buy_property"", ""decision_id"": ""mock-64394-c3bb8d94-dec-000000"", ""error"": null, ""player_id"": ""OpenAI GPT 5.4 mini"", ""valid"": true}"
6,0,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-64394-c3bb8d94-dec-000000"", ""message"": ""I’ll take Electric Company."", ""player_id"": ""OpenAI GPT 5.4 mini""}"
7,0,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-64394-c3bb8d94-dec-000000"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""thought"": ""Strong cheap early buy; utilities are decent with both owned, and 150 cash is trivial with 1500 starting stack.""}"
8,0,PROPERTY_PURCHASED,,"{""player_id"": ""OpenAI GPT 5.4 mini"", ""price"": 150, ""space_index"": 12}"
9,0,CASH_CHANGED,,"{""delta"": -150, ""player_id"": ""OpenAI GPT 5.4 mini"", ""reason"": ""buy_property""}"
