auction_id,turn_index,property_space,player_id,observed_eligible,participated_with_bid,bid_count,first_bid,last_bid,maximum_bid,dropped_out,won,winning_bid,list_price,winner_bid_to_list_ratio,auction_reason
auction-0001,24,MEDITERRANEAN_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,60,,SOLD
auction-0001,24,MEDITERRANEAN_AVENUE,Gemini 3.1 Pro Preview,True,True,1,65,65,65,True,False,,60,,SOLD
auction-0001,24,MEDITERRANEAN_AVENUE,Grok 4.3,True,False,0,,,,True,False,,60,,SOLD
auction-0001,24,MEDITERRANEAN_AVENUE,OpenAI GPT 5.5,True,True,2,60,80,80,False,True,80,60,1.333333,SOLD
auction-0002,35,ST_JAMES_PLACE,Claude Opus 4.8,True,True,3,211,375,375,False,True,375,180,2.083333,SOLD
auction-0002,35,ST_JAMES_PLACE,Gemini 3.1 Pro Preview,True,True,2,260,350,350,True,False,,180,,SOLD
auction-0002,35,ST_JAMES_PLACE,Grok 4.3,True,False,0,,,,True,False,,180,,SOLD
auction-0002,35,ST_JAMES_PLACE,OpenAI GPT 5.5,True,True,2,181,261,261,True,False,,180,,SOLD
auction-0003,38,ELECTRIC_COMPANY,Claude Opus 4.8,True,False,0,,,,True,False,,150,,SOLD
auction-0003,38,ELECTRIC_COMPANY,Gemini 3.1 Pro Preview,True,True,2,20,70,70,True,False,,150,,SOLD
auction-0003,38,ELECTRIC_COMPANY,Grok 4.3,True,False,0,,,,True,False,,150,,SOLD
auction-0003,38,ELECTRIC_COMPANY,OpenAI GPT 5.5,True,True,2,60,80,80,False,True,80,150,0.533333,SOLD
auction-0004,49,BOARDWALK,Claude Opus 4.8,True,False,0,,,,True,False,,400,,SOLD
auction-0004,49,BOARDWALK,Gemini 3.1 Pro Preview,True,False,0,,,,True,False,,400,,SOLD
auction-0004,49,BOARDWALK,Grok 4.3,True,False,0,,,,True,False,,400,,SOLD
auction-0004,49,BOARDWALK,OpenAI GPT 5.5,True,True,1,300,300,300,False,True,300,400,0.75,SOLD
auction-0005,61,PENNSYLVANIA_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,320,,SOLD
auction-0005,61,PENNSYLVANIA_AVENUE,Gemini 3.1 Pro Preview,True,True,2,150,199,199,False,True,199,320,0.621875,SOLD
auction-0005,61,PENNSYLVANIA_AVENUE,Grok 4.3,True,False,0,,,,True,False,,320,,SOLD
auction-0005,61,PENNSYLVANIA_AVENUE,OpenAI GPT 5.5,True,True,1,161,161,161,True,False,,320,,SOLD
auction-0006,84,BALTIC_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,60,,SOLD
auction-0006,84,BALTIC_AVENUE,Gemini 3.1 Pro Preview,True,True,3,5,26,26,False,True,26,60,0.433333,SOLD
auction-0006,84,BALTIC_AVENUE,Grok 4.3,True,False,0,,,,True,False,,60,,SOLD
auction-0006,84,BALTIC_AVENUE,OpenAI GPT 5.5,True,True,3,1,16,16,True,False,,60,,SOLD
auction-0007,89,MARVIN_GARDENS,Claude Opus 4.8,True,False,0,,,,True,False,,280,,SOLD
auction-0007,89,MARVIN_GARDENS,Gemini 3.1 Pro Preview,True,True,2,20,76,76,False,True,76,280,0.271429,SOLD
auction-0007,89,MARVIN_GARDENS,Grok 4.3,True,False,0,,,,True,False,,280,,SOLD
auction-0007,89,MARVIN_GARDENS,OpenAI GPT 5.5,True,True,1,75,75,75,True,False,,280,,SOLD
auction-0008,112,PARK_PLACE,Claude Opus 4.8,True,False,0,,,,True,False,,350,,SOLD
auction-0008,112,PARK_PLACE,Gemini 3.1 Pro Preview,True,True,1,15,15,15,False,True,15,350,0.042857,SOLD
auction-0008,112,PARK_PLACE,Grok 4.3,True,False,0,,,,True,False,,350,,SOLD
auction-0008,112,PARK_PLACE,OpenAI GPT 5.5,True,False,0,,,,True,False,,350,,SOLD
auction-0009,132,PACIFIC_AVENUE,Claude Opus 4.8,True,True,1,40,40,40,True,False,,300,,SOLD
auction-0009,132,PACIFIC_AVENUE,Gemini 3.1 Pro Preview,True,True,1,120,120,120,False,True,120,300,0.4,SOLD
auction-0009,132,PACIFIC_AVENUE,Grok 4.3,True,False,0,,,,True,False,,300,,SOLD
auction-0009,132,PACIFIC_AVENUE,OpenAI GPT 5.5,True,False,0,,,,True,False,,300,,SOLD
