auction_id,turn_index,property_space,player_id,observed_eligible,participated_with_bid,bid_count,first_bid,last_bid,maximum_bid,dropped_out,won,winning_bid,list_price,winner_bid_to_list_ratio,auction_reason
auction-0001,7,ELECTRIC_COMPANY,Claude Haiku 4.5,True,False,0,,,,True,False,,150,,SOLD
auction-0001,7,ELECTRIC_COMPANY,Gemini 3.5 Flash,True,True,3,60,100,100,False,True,100,150,0.666667,SOLD
auction-0001,7,ELECTRIC_COMPANY,Grok 4.3,True,False,0,,,,True,False,,150,,SOLD
auction-0001,7,ELECTRIC_COMPANY,OpenAI GPT 5.4 mini,True,True,3,50,90,90,True,False,,150,,SOLD
auction-0002,13,WATER_WORKS,Claude Haiku 4.5,True,False,0,,,,True,False,,150,,SOLD
auction-0002,13,WATER_WORKS,Gemini 3.5 Flash,True,True,3,60,130,130,False,True,130,150,0.866667,SOLD
auction-0002,13,WATER_WORKS,Grok 4.3,True,False,0,,,,True,False,,150,,SOLD
auction-0002,13,WATER_WORKS,OpenAI GPT 5.4 mini,True,True,2,90,120,120,True,False,,150,,SOLD
auction-0003,58,KENTUCKY_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,220,,SOLD
auction-0003,58,KENTUCKY_AVENUE,Gemini 3.5 Flash,True,False,0,,,,True,False,,220,,SOLD
auction-0003,58,KENTUCKY_AVENUE,Grok 4.3,True,False,0,,,,True,False,,220,,SOLD
auction-0003,58,KENTUCKY_AVENUE,OpenAI GPT 5.4 mini,True,True,1,111,111,111,False,True,111,220,0.504545,SOLD
auction-0004,61,PENNSYLVANIA_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,320,,SOLD
auction-0004,61,PENNSYLVANIA_AVENUE,Gemini 3.5 Flash,True,False,0,,,,True,False,,320,,SOLD
auction-0004,61,PENNSYLVANIA_AVENUE,Grok 4.3,True,False,0,,,,True,False,,320,,SOLD
auction-0004,61,PENNSYLVANIA_AVENUE,OpenAI GPT 5.4 mini,True,True,1,180,180,180,False,True,180,320,0.5625,SOLD
auction-0005,141,ATLANTIC_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,260,,SOLD
auction-0005,141,ATLANTIC_AVENUE,Gemini 3.5 Flash,True,True,1,30,30,30,False,True,30,260,0.115385,SOLD
auction-0005,141,ATLANTIC_AVENUE,OpenAI GPT 5.4 mini,True,False,0,,,,True,False,,260,,SOLD
