artifact,exists,kind,size_bytes
actions.jsonl,True,file,244046
artifact_manifest.json,True,file,12428
asset_flow.jsonl,True,file,27623
auction_threads.jsonl,True,file,8062
behavioral_flags.jsonl,True,file,120533
cash_flow.jsonl,True,file,60217
cost_report.json,True,file,3262
decision_index.json,True,file,125928
decisions.jsonl,True,file,18202053
event_hashes.json,True,file,473305
events.jsonl,True,file,954645
experiment_manifest.json,True,file,3592
failure_findings.jsonl,True,file,18524
failure_summary.json,True,file,530
negotiation_threads.jsonl,True,file,17970
player_timelines.json,True,file,558718
players.json,True,file,1095
pricing_snapshot.json,True,file,500324
prompts,True,directory,10168734
replay_diff.json,True,file,553
replay_flags.jsonl,True,file,387340
replay_navigation.json,True,file,53782
replay_report.json,True,file,833
state_replay_report.json,False,missing,0
artifact_replay_report.json,False,missing,0
replay_steps.jsonl,True,file,1549397
review_cost_aggregate.json,True,file,934796
review_cost_calls.jsonl,True,file,429285
review_queue.jsonl,True,file,101169
run_config.json,True,file,2326
scorecard_decisions.jsonl,True,file,160785
scorecard_events.jsonl,True,file,473237
scorecard_players.json,True,file,9574
scorecard.json,True,file,644768
seat_assignment.json,True,file,993
state,True,directory,3532417
summary.json,True,file,5018
timeline.json,True,file,622408
trace_findings.jsonl,True,file,329856
trace_summary.json,True,file,1209
turn_index.json,True,file,50714
usage_attempts.jsonl,True,file,358640
usage_decisions.jsonl,True,file,267984
usage.json,True,file,3585
