player_id,decision_type,action,calls,cost,latency_ms,avg_latency_ms
Claude Opus 4.8,AUCTION_BID_DECISION,drop_out,8,0.5452600000000001,154688.0,19336.0
Claude Opus 4.8,AUCTION_BID_DECISION,bid_auction,7,0.4675,146873.0,20981.86
Claude Opus 4.8,BUY_OR_AUCTION_DECISION,buy_property,6,0.198325,44389.0,7398.17
Claude Opus 4.8,BUY_OR_AUCTION_DECISION,start_auction,1,0.05175,12783.0,12783.0
Claude Opus 4.8,JAIL_DECISION,roll_for_doubles,8,0.5537250000000001,139351.0,17418.88
Claude Opus 4.8,JAIL_DECISION,pay_jail_fine,1,0.0548,7917.0,7917.0
Claude Opus 4.8,LIQUIDATION_DECISION,mortgage_property,5,0.3639,109985.0,21997.0
Claude Opus 4.8,LIQUIDATION_DECISION,sell_houses_or_hotel,1,0.11465,23786.0,23786.0
Claude Opus 4.8,LIQUIDATION_DECISION,declare_bankruptcy,1,0.070155,19485.0,19485.0
Claude Opus 4.8,POST_TURN_ACTION_DECISION,end_turn,51,3.463255,828359.0,16242.33
Claude Opus 4.8,POST_TURN_ACTION_DECISION,build_houses_or_hotel,9,0.8813150000000001,286690.0,31854.44
Claude Opus 4.8,POST_TURN_ACTION_DECISION,propose_trade,1,0.106475,45053.0,45053.0
Claude Opus 4.8,TRADE_RESPONSE_DECISION,reject_trade,29,1.9715749999999996,441778.0,15233.72
Claude Opus 4.8,TRADE_RESPONSE_DECISION,counter_trade,5,0.58647,199093.0,39818.6
Claude Opus 4.8,TRADE_RESPONSE_DECISION,accept_trade,1,0.06256,8877.0,8877.0
Gemini 3.1 Pro Preview,AUCTION_BID_DECISION,bid_auction,23,0.289236,124574.0,5416.26
Gemini 3.1 Pro Preview,AUCTION_BID_DECISION,drop_out,7,0.08086600000000001,28461.0,4065.86
Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION,buy_property,3,0.024714,11384.0,3794.67
Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION,start_auction,1,0.01072,4165.0,4165.0
Gemini 3.1 Pro Preview,LIQUIDATION_DECISION,sell_houses_or_hotel,4,0.081208,39339.0,9834.75
Gemini 3.1 Pro Preview,LIQUIDATION_DECISION,mortgage_property,4,0.050894,20484.0,5121.0
Gemini 3.1 Pro Preview,LIQUIDATION_DECISION,declare_bankruptcy,1,0.01348,5169.0,5169.0
