batch_size,turn_start,turn_end,calls,events,cost,input_tokens,output_tokens,reasoning_tokens,latency_ms,rent_events,trade_events,auction_events,building_events
10,0,9,15,118,0.186509,36065,4133,2326,74402,0,0,0,0
10,10,19,18,133,0.3691,61615,7523,4919,150316,0,0,0,0
10,20,29,47,312,1.673048,207114,34800,23801,734542,3,23,0,9
10,30,39,42,268,1.716367,217964,44915,17801,647607,2,7,22,8
10,40,49,72,426,2.163884,311160,50806,34814,961749,5,12,50,2
10,50,59,58,362,1.750473,254964,41063,28664,751848,5,10,30,8
10,60,69,15,133,0.746899,95088,15026,4752,220925,5,0,0,3
10,70,79,63,384,3.342325,350595,80744,55242,1606343,3,45,0,3
10,80,89,38,261,1.995462,199931,46659,35303,1082351,6,12,0,9
10,90,99,24,172,1.334499,128934,36562,30829,855949,2,4,0,2
10,100,109,35,234,1.765919,165265,43793,28760,994710,3,10,0,8
10,110,119,28,197,2.205298,131675,61464,53810,1605631,1,12,0,5
10,120,129,22,154,1.328792,136942,27987,19053,620828,0,12,0,0
10,130,139,18,145,1.375275,92906,32027,22173,769437,3,0,0,10
10,140,149,15,111,0.912195,91590,15747,11906,403176,0,6,0,0
10,150,159,16,119,0.8222,87406,13218,10293,370300,0,4,0,1
10,160,169,23,164,1.7979,129529,39253,32665,1082058,1,8,0,9
10,170,179,20,153,1.295975,109843,25790,19693,671224,3,0,0,10
10,180,189,13,107,0.859455,67931,17671,15054,465359,0,0,0,3
10,190,191,1,19,0.070155,7551,1296,200,19485,0,0,0,0
25,0,24,40,310,0.704713,128806,15564,9554,275166,2,0,0,0
25,25,49,154,947,5.404195,705112,126613,74107,2293450,8,42,72,19
25,50,74,77,542,2.556189,365143,58566,35575,1005169,12,10,30,11
25,75,99,121,770,6.613469,664369,161488,119215,3512247,9,61,0,14
25,100,124,80,533,4.926154,397999,125335,97813,3077718,4,34,0,13
25,125,149,38,308,2.661325,220379,55683,37889,1316064,3,6,0,10
25,150,174,51,371,3.39235,282012,67575,56061,1869920,2,12,0,18
25,175,191,22,191,1.453335,120248,29653,21844,738506,2,0,0,5
