call_index,turn_index,decision_id,player_id,model_id,provider_model,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,missing_usage_attempts,latency_ms,input_tokens,output_tokens,total_tokens,reasoning_tokens,cached_tokens,cost
393,100,mock-83265-81ed4937-dec-000392,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,0,90756,8799,6555,15354,684,0,0.20787
527,160,mock-83265-81ed4937-dec-000526,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,0,197305,3812,5841,9653,5696,0,0.19429
451,119,mock-83265-81ed4937-dec-000450,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,0,147667,4045,5877,9922,5685,1792,0.188471
433,114,mock-83265-81ed4937-dec-000432,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,LIQUIDATION_DECISION,sell_houses_or_hotel,2,1,True,False,0,132028,7170,5390,12560,5082,3328,0.18257400000000001
449,119,mock-83265-81ed4937-dec-000448,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,0,168808,3933,5355,9288,5178,0,0.180315
388,99,mock-83265-81ed4937-dec-000387,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,unmortgage_property,2,1,True,False,0,141006,7642,5141,12783,4878,3328,0.177464
490,137,mock-83265-81ed4937-dec-000489,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,POST_TURN_ACTION_DECISION,build_houses_or_hotel,1,0,False,False,0,74735,8949,5147,14096,651,0,0.17342
101,35,mock-83265-81ed4937-dec-000100,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,TRADE_RESPONSE_DECISION,counter_trade,2,1,True,False,0,50867,15333,3594,18927,376,0,0.166515
387,99,mock-83265-81ed4937-dec-000386,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,unmortgage_property,2,1,True,False,0,131362,7656,4697,12353,4460,3328,0.164214
306,79,mock-83265-81ed4937-dec-000305,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,TRADE_RESPONSE_DECISION,counter_trade,1,0,False,False,0,65490,9062,4640,13702,357,0,0.16131
302,79,mock-83265-81ed4937-dec-000301,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,TRADE_RESPONSE_DECISION,reject_trade,2,1,True,False,0,42491,17336,2901,20237,345,0,0.15920499999999999
327,79,mock-83265-81ed4937-dec-000326,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,TRADE_RESPONSE_DECISION,reject_trade,2,1,True,False,0,32996,20086,2217,22303,391,0,0.155855
423,107,mock-83265-81ed4937-dec-000422,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,0,55248,9619,3830,13449,337,0,0.143845
364,88,mock-83265-81ed4937-dec-000363,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,0,139817,4133,4100,8233,3895,0,0.143665
434,114,mock-83265-81ed4937-dec-000433,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,0,117754,7389,4020,11409,3936,3328,0.142569
187,47,mock-83265-81ed4937-dec-000186,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,AUCTION_BID_DECISION,drop_out,2,2,True,True,0,43860,14092,2870,16962,289,0,0.14221
536,165,mock-83265-81ed4937-dec-000535,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,0,98691,4073,3807,7880,3624,0,0.134575
324,79,mock-83265-81ed4937-dec-000323,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,0,96780,4838,3643,8481,3443,0,0.13348
441,116,mock-83265-81ed4937-dec-000440,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,0,97726,3911,3720,7631,3581,0,0.131155
446,117,mock-83265-81ed4937-dec-000445,Claude Opus 4.8,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,0,43734,9159,3408,12567,363,0,0.130995
