turn_index,seq,event_type,initiator_player_id,counterparty_player_id,exchange_index,offer_cash,request_cash,offer_properties,request_properties,offer_jail_cards,request_jail_cards
25,323,TRADE_PROPOSED,OpenAI GPT 5.5,Claude Opus 4.8,0,0,0,PACIFIC_AVENUE,VIRGINIA_AVENUE,0,0
25,328,TRADE_REJECTED,OpenAI GPT 5.5,Claude Opus 4.8,0,0,0,PACIFIC_AVENUE,VIRGINIA_AVENUE,0,0
25,333,TRADE_PROPOSED,OpenAI GPT 5.5,Claude Opus 4.8,0,150,0,B_O_RAILROAD,VIRGINIA_AVENUE,0,0
25,338,TRADE_COUNTERED,OpenAI GPT 5.5,Claude Opus 4.8,1,0,250,VIRGINIA_AVENUE,B_O_RAILROAD,0,0
25,343,TRADE_ACCEPTED,OpenAI GPT 5.5,Claude Opus 4.8,1,0,250,VIRGINIA_AVENUE,B_O_RAILROAD,0,0
25,396,TRADE_PROPOSED,OpenAI GPT 5.5,Claude Opus 4.8,0,0,250,PACIFIC_AVENUE,,0,0
25,401,TRADE_REJECTED,OpenAI GPT 5.5,Claude Opus 4.8,0,0,250,PACIFIC_AVENUE,,0,0
25,406,TRADE_PROPOSED,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,0,0,400,PACIFIC_AVENUE,,0,0
25,411,TRADE_COUNTERED,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,1,0,150,,PACIFIC_AVENUE,0,0
25,416,TRADE_COUNTERED,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,2,0,300,PACIFIC_AVENUE,,0,0
25,421,TRADE_COUNTERED,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,3,200,0,,PACIFIC_AVENUE,0,0
25,426,TRADE_COUNTERED,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,4,0,250,PACIFIC_AVENUE,,0,0
25,431,TRADE_ACCEPTED,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,4,0,250,PACIFIC_AVENUE,,0,0
25,447,TRADE_PROPOSED,OpenAI GPT 5.5,Grok 4.3,0,0,50,BALTIC_AVENUE,,0,0
25,452,TRADE_REJECTED,OpenAI GPT 5.5,Grok 4.3,0,0,50,BALTIC_AVENUE,,0,0
