turn_index,seq,event_type,player_id,property_space,bid,winning_bid,reason
31,581,AUCTION_STARTED,,PARK_PLACE,,,
31,586,AUCTION_BID_PLACED,,PARK_PLACE,,,
31,591,AUCTION_BID_PLACED,,PARK_PLACE,,,
31,596,AUCTION_PLAYER_DROPPED,Grok 4.3,PARK_PLACE,,,
31,601,AUCTION_PLAYER_DROPPED,OpenAI GPT 5.5,PARK_PLACE,,,
31,606,AUCTION_BID_PLACED,,PARK_PLACE,,,
31,611,AUCTION_BID_PLACED,,PARK_PLACE,,,
31,616,AUCTION_BID_PLACED,,PARK_PLACE,,,
31,621,AUCTION_BID_PLACED,,PARK_PLACE,,,
31,626,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,PARK_PLACE,,,
31,629,AUCTION_ENDED,Gemini 3.1 Pro Preview,PARK_PLACE,,650,SOLD
37,746,AUCTION_STARTED,,TENNESSEE_AVENUE,,,
37,751,AUCTION_BID_PLACED,,TENNESSEE_AVENUE,,,
37,756,AUCTION_BID_PLACED,,TENNESSEE_AVENUE,,,
37,761,AUCTION_BID_PLACED,,TENNESSEE_AVENUE,,,
37,766,AUCTION_PLAYER_DROPPED,OpenAI GPT 5.5,TENNESSEE_AVENUE,,,
37,771,AUCTION_BID_PLACED,,TENNESSEE_AVENUE,,,
37,776,AUCTION_PLAYER_DROPPED,Gemini 3.1 Pro Preview,TENNESSEE_AVENUE,,,
37,781,AUCTION_BID_PLACED,,TENNESSEE_AVENUE,,,
37,786,AUCTION_BID_PLACED,,TENNESSEE_AVENUE,,,
37,791,AUCTION_PLAYER_DROPPED,Grok 4.3,TENNESSEE_AVENUE,,,
37,794,AUCTION_ENDED,Claude Opus 4.8,TENNESSEE_AVENUE,,280,SOLD
40,840,AUCTION_STARTED,,WATER_WORKS,,,
40,845,AUCTION_BID_PLACED,,WATER_WORKS,,,
40,850,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,WATER_WORKS,,,
40,855,AUCTION_PLAYER_DROPPED,Gemini 3.1 Pro Preview,WATER_WORKS,,,
40,860,AUCTION_PLAYER_DROPPED,Grok 4.3,WATER_WORKS,,,
40,863,AUCTION_ENDED,OpenAI GPT 5.5,WATER_WORKS,,1,SOLD
41,876,AUCTION_STARTED,,ATLANTIC_AVENUE,,,
41,881,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,ATLANTIC_AVENUE,,,
41,886,AUCTION_PLAYER_DROPPED,Gemini 3.1 Pro Preview,ATLANTIC_AVENUE,,,
41,891,AUCTION_BID_PLACED,,ATLANTIC_AVENUE,,,
41,896,AUCTION_BID_PLACED,,ATLANTIC_AVENUE,,,
41,901,AUCTION_BID_PLACED,,ATLANTIC_AVENUE,,,
41,906,AUCTION_PLAYER_DROPPED,OpenAI GPT 5.5,ATLANTIC_AVENUE,,,
41,909,AUCTION_ENDED,Grok 4.3,ATLANTIC_AVENUE,,100,SOLD
45,1014,AUCTION_STARTED,,MEDITERRANEAN_AVENUE,,,
45,1019,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1024,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,MEDITERRANEAN_AVENUE,,,
45,1029,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1034,AUCTION_PLAYER_DROPPED,Grok 4.3,MEDITERRANEAN_AVENUE,,,
45,1039,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1044,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1049,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1054,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1059,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1064,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1069,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1074,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1079,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1084,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1089,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1094,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1099,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1104,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1109,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1114,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1119,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1124,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1129,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1134,AUCTION_BID_PLACED,,MEDITERRANEAN_AVENUE,,,
45,1139,AUCTION_PLAYER_DROPPED,OpenAI GPT 5.5,MEDITERRANEAN_AVENUE,,,
45,1142,AUCTION_ENDED,Gemini 3.1 Pro Preview,MEDITERRANEAN_AVENUE,,30,SOLD
47,1185,AUCTION_STARTED,,INDIANA_AVENUE,,,
47,1190,AUCTION_BID_PLACED,,INDIANA_AVENUE,,,
47,1195,AUCTION_PLAYER_DROPPED,Grok 4.3,INDIANA_AVENUE,,,
47,1200,AUCTION_BID_PLACED,,INDIANA_AVENUE,,,
47,1205,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,INDIANA_AVENUE,,,
47,1210,AUCTION_BID_PLACED,,INDIANA_AVENUE,,,
47,1215,AUCTION_BID_PLACED,,INDIANA_AVENUE,,,
47,1220,AUCTION_PLAYER_DROPPED,Gemini 3.1 Pro Preview,INDIANA_AVENUE,,,
