turn_index,seq,event_type,player_id,space_index,space_name,space_group,count
25,353,HOUSE_BUILT,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
25,354,HOUSE_BUILT,OpenAI GPT 5.5,13,States Avenue,PINK,1
25,355,HOUSE_BUILT,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
25,367,HOUSE_BUILT,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
25,379,HOUSE_BUILT,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
25,391,HOUSE_BUILT,OpenAI GPT 5.5,13,States Avenue,PINK,1
25,441,HOUSE_BUILT,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
25,442,HOUSE_BUILT,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
25,492,HOUSE_BUILT,OpenAI GPT 5.5,13,States Avenue,PINK,1
32,646,HOUSE_BUILT,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
32,647,HOUSE_BUILT,OpenAI GPT 5.5,13,States Avenue,PINK,1
32,648,HOUSE_BUILT,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
38,808,HOUSE_BUILT,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,2
38,809,HOUSE_BUILT,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,2
38,810,HOUSE_BUILT,Claude Opus 4.8,6,Oriental Avenue,LIGHT_BLUE,2
39,824,HOUSE_BUILT,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,1
39,825,HOUSE_BUILT,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,1
41,931,HOTEL_BUILT,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
42,978,HOUSE_BUILT,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,1
50,1272,HOTEL_BUILT,OpenAI GPT 5.5,13,States Avenue,PINK,1
51,1339,HOUSE_BUILT,Claude Opus 4.8,6,Oriental Avenue,LIGHT_BLUE,1
52,1356,HOUSE_BUILT,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,1
55,1492,HOTEL_BUILT,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
56,1522,HOUSE_BUILT,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,1
56,1528,HOUSE_BUILT,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,1
56,1534,HOUSE_BUILT,Claude Opus 4.8,6,Oriental Avenue,LIGHT_BLUE,1
56,1535,HOUSE_BUILT,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,1
64,1699,HOUSE_SOLD,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,2
64,1700,HOUSE_SOLD,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,2
64,1701,HOUSE_SOLD,Claude Opus 4.8,6,Oriental Avenue,LIGHT_BLUE,1
77,1821,HOUSE_SOLD,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,1
77,1827,HOUSE_SOLD,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,1
77,1828,HOUSE_SOLD,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,1
85,2227,HOUSE_BUILT,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,1
85,2228,HOUSE_BUILT,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,1
85,2234,HOUSE_BUILT,Claude Opus 4.8,6,Oriental Avenue,LIGHT_BLUE,1
85,2235,HOUSE_BUILT,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,1
85,2236,HOUSE_BUILT,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,1
88,2320,HOUSE_BUILT,OpenAI GPT 5.5,1,Mediterranean Avenue,BROWN,4
88,2321,HOUSE_BUILT,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,4
88,2327,HOTEL_BUILT,OpenAI GPT 5.5,1,Mediterranean Avenue,BROWN,1
88,2328,HOTEL_BUILT,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,1
91,2425,HOUSE_BUILT,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,1
91,2426,HOUSE_BUILT,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,2
103,2609,HOUSE_SOLD,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,1
103,2615,HOUSE_SOLD,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,1
103,2616,HOUSE_SOLD,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,1
106,2725,HOUSE_BUILT,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,2
106,2726,HOUSE_BUILT,OpenAI GPT 5.5,32,North Carolina Avenue,GREEN,2
106,2727,HOUSE_BUILT,OpenAI GPT 5.5,34,Pennsylvania Avenue,GREEN,2
106,2745,HOUSE_BUILT,OpenAI GPT 5.5,34,Pennsylvania Avenue,GREEN,1
106,2763,HOUSE_BUILT,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,1
110,2814,HOUSE_BUILT,OpenAI GPT 5.5,32,North Carolina Avenue,GREEN,1
114,2865,HOUSE_SOLD,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,1
114,2866,HOTEL_SOLD,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
116,2901,HOTEL_SOLD,OpenAI GPT 5.5,13,States Avenue,PINK,1
116,2902,HOTEL_SOLD,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
130,3168,HOTEL_BUILT,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
130,3169,HOTEL_BUILT,OpenAI GPT 5.5,13,States Avenue,PINK,1
130,3170,HOTEL_BUILT,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
132,3195,HOUSE_BUILT,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,1
136,3242,HOUSE_BUILT,OpenAI GPT 5.5,32,North Carolina Avenue,GREEN,1
137,3259,HOTEL_BUILT,Claude Opus 4.8,6,Oriental Avenue,LIGHT_BLUE,1
137,3260,HOTEL_BUILT,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,1
137,3261,HOTEL_BUILT,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,1
138,3278,HOUSE_BUILT,OpenAI GPT 5.5,34,Pennsylvania Avenue,GREEN,1
138,3284,HOUSE_BUILT,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,1
152,3443,HOTEL_BUILT,OpenAI GPT 5.5,34,Pennsylvania Avenue,GREEN,1
163,3573,HOTEL_SOLD,OpenAI GPT 5.5,34,Pennsylvania Avenue,GREEN,1
163,3574,HOTEL_SOLD,OpenAI GPT 5.5,11,St. Charles Place,PINK,1
163,3575,HOTEL_SOLD,OpenAI GPT 5.5,13,States Avenue,PINK,1
163,3576,HOTEL_SOLD,OpenAI GPT 5.5,14,Virginia Avenue,PINK,1
163,3577,HOTEL_SOLD,OpenAI GPT 5.5,1,Mediterranean Avenue,BROWN,1
163,3578,HOTEL_SOLD,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,1
169,3668,HOUSE_SOLD,OpenAI GPT 5.5,1,Mediterranean Avenue,BROWN,4
169,3669,HOUSE_SOLD,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,4
169,3687,HOTEL_BUILT,OpenAI GPT 5.5,34,Pennsylvania Avenue,GREEN,1
172,3717,HOUSE_SOLD,OpenAI GPT 5.5,11,St. Charles Place,PINK,2
172,3718,HOUSE_SOLD,OpenAI GPT 5.5,13,States Avenue,PINK,2
172,3719,HOUSE_SOLD,OpenAI GPT 5.5,14,Virginia Avenue,PINK,2
172,3728,HOUSE_SOLD,OpenAI GPT 5.5,11,St. Charles Place,PINK,2
172,3729,HOUSE_SOLD,OpenAI GPT 5.5,13,States Avenue,PINK,2
172,3730,HOUSE_SOLD,OpenAI GPT 5.5,14,Virginia Avenue,PINK,2
174,3774,HOTEL_BUILT,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,1
174,3775,HOTEL_BUILT,OpenAI GPT 5.5,32,North Carolina Avenue,GREEN,1
178,3828,HOUSE_BUILT,OpenAI GPT 5.5,37,Park Place,DARK_BLUE,2
178,3829,HOUSE_BUILT,OpenAI GPT 5.5,39,Boardwalk,DARK_BLUE,2
180,3857,HOUSE_BUILT,OpenAI GPT 5.5,39,Boardwalk,DARK_BLUE,1
180,3863,HOUSE_BUILT,OpenAI GPT 5.5,37,Park Place,DARK_BLUE,1
187,3931,HOUSE_BUILT,OpenAI GPT 5.5,39,Boardwalk,DARK_BLUE,1
