turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,OpenAI GPT 5.4 Mini,2,0.002882,2559,214,101,2773,5367
1,Claude Haiku 4.5,2,0.01339,4055,1867,1159,5922,21242
2,Claude Haiku 4.5,1,0.00852,2410,1222,719,3632,13133
3,Gemini 3 Flash Preview,1,0.002119,1801,406,332,2207,3001
4,Grok 4.3,1,0.003284,1945,395,338,2340,7000
5,OpenAI GPT 5.4 Mini,1,0.002275,1845,198,132,2043,2250
6,Claude Haiku 4.5,1,0.009876,2806,1414,893,4220,18249
7,Gemini 3 Flash Preview,2,0.004213,4202,704,512,4906,5678
8,Grok 4.3,2,0.006654,4462,538,436,5000,10444
9,OpenAI GPT 5.4 Mini,2,0.00475,4431,317,174,4748,6227
10,Claude Haiku 4.5,2,0.021337,6472,2973,1526,9445,34908
11,Gemini 3 Flash Preview,2,0.005889,5581,1033,792,6614,7210
12,Grok 4.3,2,0.008806,5452,904,776,6356,14316
13,OpenAI GPT 5.4 Mini,2,0.005275,5245,298,157,5543,5911
14,Claude Haiku 4.5,2,0.020953,7313,2728,1171,10041,28287
15,Claude Haiku 4.5,3,0.034713,11623,4618,2320,16241,49477
15,Gemini 3 Flash Preview,4,0.013695,12936,2409,1964,15345,16175
15,Grok 4.3,1,0.004318,2788,387,331,3175,5983
15,OpenAI GPT 5.4 Mini,3,0.016832,8672,2295,2047,10967,30083
16,Gemini 3 Flash Preview,1,0.004439,3665,869,701,4534,5425
17,Grok 4.3,2,0.009697,6125,1085,925,7210,20496
18,Grok 4.3,2,0.009469,6371,871,704,7242,14783
20,OpenAI GPT 5.4 Mini,1,0.003331,3092,225,160,3317,2269
21,OpenAI GPT 5.4 Mini,1,0.003053,3057,169,107,3226,2996
22,Claude Haiku 4.5,6,0.120675,25575,19020,7740,44595,189568
22,Gemini 3 Flash Preview,3,0.009874,10459,1548,1174,12007,11196
22,Grok 4.3,4,0.021491,13422,2423,2026,15845,42154
22,OpenAI GPT 5.4 Mini,3,0.012498,8918,1291,1078,10209,18177
24,Grok 4.3,1,0.005344,3391,496,389,3887,6328
25,OpenAI GPT 5.4 Mini,1,0.005846,3307,748,685,4055,7212
26,Grok 4.3,4,0.021021,15205,1666,1279,16871,26303
26,OpenAI GPT 5.4 Mini,5,0.040422,17140,6126,5456,23266,54872
27,Claude Haiku 4.5,1,0.018099,4834,2653,1366,7487,29965
28,Gemini 3 Flash Preview,3,0.014253,11994,2752,2364,14746,17922
29,Grok 4.3,1,0.005337,3480,610,532,4090,9660
30,OpenAI GPT 5.4 Mini,1,0.004713,3356,488,425,3844,7583
32,Gemini 3 Flash Preview,1,0.005202,4147,1043,881,5190,6547
33,Grok 4.3,3,0.015649,10698,1072,795,11770,19545
34,OpenAI GPT 5.4 Mini,2,0.007649,6557,607,489,7164,8598
35,OpenAI GPT 5.4 Mini,1,0.008426,3254,1330,1260,4584,13009
36,Claude Haiku 4.5,2,0.025875,8525,3470,1672,11995,37019
37,Gemini 3 Flash Preview,2,0.008844,7602,1681,1357,9283,10636
38,Grok 4.3,1,0.004658,3555,489,427,4044,9130
39,Grok 4.3,1,0.005147,3444,552,463,3996,8631
39,OpenAI GPT 5.4 Mini,2,0.012237,6248,1678,1457,7926,20346
40,Claude Haiku 4.5,3,0.038555,12825,5146,2470,17971,55485
40,Gemini 3 Flash Preview,6,0.028684,24451,5486,4418,29937,34723
40,Grok 4.3,5,0.027367,17351,3427,2976,20778,53293
40,OpenAI GPT 5.4 Mini,2,0.011253,6286,1453,1312,7739,20189
41,Gemini 3 Flash Preview,1,0.009099,4447,2292,2097,6739,15600
42,Grok 4.3,1,0.005971,3716,584,516,4300,7990
43,OpenAI GPT 5.4 Mini,1,0.004237,3273,396,322,3669,4728
44,Claude Haiku 4.5,2,0.057841,9106,9747,3839,18853,95396
44,Grok 4.3,1,0.00525,3593,680,571,4273,8746
45,Gemini 3 Flash Preview,1,0.006543,4446,1440,1279,5886,9206
46,Gemini 3 Flash Preview,1,0.005569,4437,1117,960,5554,7563
47,Claude Haiku 4.5,1,0.010543,4198,1269,731,5467,13870
47,Gemini 3 Flash Preview,3,0.015566,12790,3057,2495,15847,19396
47,Grok 4.3,5,0.02523,17235,2469,2076,19704,33331
47,OpenAI GPT 5.4 Mini,2,0.010721,6219,1346,1205,7565,18528
48,Claude Haiku 4.5,1,0.01015,4220,1186,547,5406,13881
48,Gemini 3 Flash Preview,2,0.008337,8442,1372,1097,9814,8794
48,Grok 4.3,7,0.035536,24982,4089,3449,29071,54560
48,OpenAI GPT 5.4 Mini,8,0.078774,26366,13111,12244,39477,126538
49,Claude Haiku 4.5,1,0.01365,4820,1766,789,6586,19456
50,Claude Haiku 4.5,1,0.009761,4706,1011,621,5717,10815
50,Gemini 3 Flash Preview,2,0.016674,9371,3996,3625,13367,22947
51,Grok 4.3,2,0.011475,7413,991,847,8404,11944
52,Claude Haiku 4.5,1,0.015873,4443,2286,1267,6729,24470
52,Gemini 3 Flash Preview,1,0.003964,4321,601,454,4922,3950
52,Grok 4.3,1,0.006151,3610,951,888,4561,13462
52,OpenAI GPT 5.4 Mini,3,0.02065,10121,2902,2705,13023,33656
53,Claude Haiku 4.5,1,0.0131,4435,1733,883,6168,18190
54,Claude Haiku 4.5,1,0.009103,4423,936,512,5359,14291
54,Gemini 3 Flash Preview,5,0.034292,21811,8403,7327,30214,51221
54,Grok 4.3,2,0.012406,7485,1650,1379,9135,19102
55,Claude Haiku 4.5,1,0.00932,4430,978,597,5408,11266
55,Gemini 3 Flash Preview,3,0.013452,12791,2352,1901,15143,15687
55,Grok 4.3,3,0.016464,11104,1356,1102,12460,20031
55,OpenAI GPT 5.4 Mini,3,0.02183,10177,3155,2910,13332,32203
56,OpenAI GPT 5.4 Mini,1,0.004731,3578,455,390,4033,4429
57,Claude Haiku 4.5,1,0.012134,4784,1470,688,6254,15481
58,Gemini 3 Flash Preview,1,0.006765,4434,1516,1342,5950,9640
59,Grok 4.3,1,0.005852,3766,861,764,4627,10588
60,OpenAI GPT 5.4 Mini,3,0.030537,9912,5134,4880,15046,60213
61,Claude Haiku 4.5,2,0.038633,8668,5993,2482,14661,58450
62,Claude Haiku 4.5,2,0.031796,9236,4512,2445,13748,51315
62,Gemini 3 Flash Preview,4,0.03925,17984,10086,9001,28070,62093
62,OpenAI GPT 5.4 Mini,2,0.007682,6747,1005,832,7752,14149
63,Grok 4.3,2,0.013534,8517,1585,1324,10102,24146
64,OpenAI GPT 5.4 Mini,1,0.006373,3643,809,748,4452,10457
65,Claude Haiku 4.5,1,0.01392,4910,1802,679,6712,17906
66,Gemini 3 Flash Preview,7,0.060751,35067,14406,13150,49473,80450
66,OpenAI GPT 5.4 Mini,1,0.006706,3625,886,761,4511,11816
67,Grok 4.3,1,0.006642,4419,501,416,4920,8010
68,Grok 4.3,6,0.033204,24085,3094,2554,27179,42069
68,OpenAI GPT 5.4 Mini,7,0.071726,26077,11593,10651,37670,116028
69,Claude Haiku 4.5,1,0.012592,5017,1515,905,6532,15889
70,Claude Haiku 4.5,1,0.026483,4948,4307,1388,9255,39984
70,Gemini 3 Flash Preview,4,0.034207,20107,8051,7227,28158,45949
71,Grok 4.3,2,0.0146,9135,1380,1171,10515,19015
72,OpenAI GPT 5.4 Mini,1,0.005639,3774,624,553,4398,8539
73,Claude Haiku 4.5,1,0.012951,4921,1606,624,6527,17928
74,Gemini 3 Flash Preview,1,0.005598,4824,1062,888,5886,7062
