turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,2,0.002882,2559,214,101,2773,5367
1,2,0.01339,4055,1867,1159,5922,21242
2,1,0.00852,2410,1222,719,3632,13133
3,1,0.002119,1801,406,332,2207,3001
4,1,0.003284,1945,395,338,2340,7000
5,1,0.002275,1845,198,132,2043,2250
6,1,0.009876,2806,1414,893,4220,18249
7,2,0.004213,4202,704,512,4906,5678
8,2,0.006654,4462,538,436,5000,10444
9,2,0.00475,4431,317,174,4748,6227
10,2,0.021337,6472,2973,1526,9445,34908
11,2,0.005889,5581,1033,792,6614,7210
12,2,0.008806,5452,904,776,6356,14316
13,2,0.005275,5245,298,157,5543,5911
14,2,0.020953,7313,2728,1171,10041,28287
15,11,0.069558,36019,9709,6662,45728,101718
16,1,0.004439,3665,869,701,4534,5425
17,2,0.009697,6125,1085,925,7210,20496
18,2,0.009469,6371,871,704,7242,14783
20,1,0.003331,3092,225,160,3317,2269
21,1,0.003053,3057,169,107,3226,2996
22,16,0.164538,58374,24282,12018,82656,261095
24,1,0.005344,3391,496,389,3887,6328
25,1,0.005846,3307,748,685,4055,7212
26,9,0.061443,32345,7792,6735,40137,81175
27,1,0.018099,4834,2653,1366,7487,29965
28,3,0.014253,11994,2752,2364,14746,17922
29,1,0.005337,3480,610,532,4090,9660
30,1,0.004713,3356,488,425,3844,7583
32,1,0.005202,4147,1043,881,5190,6547
33,3,0.015649,10698,1072,795,11770,19545
34,2,0.007649,6557,607,489,7164,8598
35,1,0.008426,3254,1330,1260,4584,13009
36,2,0.025875,8525,3470,1672,11995,37019
37,2,0.008844,7602,1681,1357,9283,10636
38,1,0.004658,3555,489,427,4044,9130
39,3,0.017384,9692,2230,1920,11922,28977
40,16,0.105858,60913,15512,11176,76425,163690
41,1,0.009099,4447,2292,2097,6739,15600
42,1,0.005971,3716,584,516,4300,7990
43,1,0.004237,3273,396,322,3669,4728
44,3,0.063091,12699,10427,4410,23126,104142
45,1,0.006543,4446,1440,1279,5886,9206
46,1,0.005569,4437,1117,960,5554,7563
47,11,0.06206,40442,8141,6507,48583,85125
48,18,0.132797,64010,19758,17337,83768,203773
49,1,0.01365,4820,1766,789,6586,19456
50,3,0.026434,14077,5007,4246,19084,33762
51,2,0.011475,7413,991,847,8404,11944
52,6,0.046637,22495,6740,5314,29235,75538
53,1,0.0131,4435,1733,883,6168,18190
54,8,0.055801,33719,10989,9218,44708,84614
55,10,0.061065,38502,7841,6510,46343,79187
56,1,0.004731,3578,455,390,4033,4429
57,1,0.012134,4784,1470,688,6254,15481
58,1,0.006765,4434,1516,1342,5950,9640
59,1,0.005852,3766,861,764,4627,10588
60,3,0.030537,9912,5134,4880,15046,60213
61,2,0.038633,8668,5993,2482,14661,58450
62,8,0.078728,33967,15603,12278,49570,127557
63,2,0.013534,8517,1585,1324,10102,24146
64,1,0.006373,3643,809,748,4452,10457
65,1,0.01392,4910,1802,679,6712,17906
66,8,0.067457,38692,15292,13911,53984,92266
67,1,0.006642,4419,501,416,4920,8010
68,13,0.104931,50162,14687,13205,64849,158097
69,1,0.012592,5017,1515,905,6532,15889
70,5,0.06069,25055,12358,8615,37413,85933
71,2,0.0146,9135,1380,1171,10515,19015
72,1,0.005639,3774,624,553,4398,8539
73,1,0.012951,4921,1606,624,6527,17928
74,1,0.005598,4824,1062,888,5886,7062
75,2,0.013676,8424,1527,1279,9951,21965
76,14,0.164345,51905,28944,27239,80849,280950
77,1,0.02566,4930,4146,1593,9076,37918
78,7,0.076348,36635,13748,8784,50383,115992
79,2,0.013858,8776,1424,1224,10200,22007
80,1,0.004189,3804,297,248,4101,3535
81,1,0.004187,3734,308,251,4042,5840
82,1,0.012949,5034,1583,737,6617,17551
83,2,0.017386,9962,4135,3806,14097,22789
84,2,0.013101,8529,1406,1233,9935,18835
85,1,0.004286,3519,366,308,3885,5650
86,1,0.017438,4858,2516,1079,7374,26526
87,2,0.013819,9980,2943,2450,12923,16125
88,1,0.005109,4084,378,293,4462,6669
89,1,0.004106,3273,367,317,3640,4924
90,1,0.011547,4557,1398,690,5955,14719
91,1,0.010315,4575,1148,632,5723,12130
92,1,0.008958,4849,2178,1975,7027,12800
93,2,0.013156,8128,1306,1112,9434,15622
94,1,0.005962,3965,456,370,4421,5743
95,1,0.003821,3235,310,253,3545,4290
96,1,0.010549,4579,1194,551,5773,13067
97,1,0.009895,4887,2484,2303,7371,14474
98,5,0.032335,18696,4016,3473,22712,43699
99,1,0.01159,3291,2027,1958,5318,18717
100,1,0.011101,4666,1287,615,5953,13641
101,1,0.018018,4688,2666,1124,7354,26356
102,2,0.021077,10025,5355,4921,15380,29441
103,2,0.014087,8367,1559,1345,9926,17726
104,1,0.007147,3343,1031,969,4374,14494
105,1,0.018614,4764,2770,1181,7534,26129
107,1,0.005959,3955,460,360,4415,6541
108,6,0.037378,19916,4987,4475,24903,54825
109,4,0.024823,12892,3790,3361,16682,38358
110,1,0.012235,4670,1513,663,6183,15556
111,1,0.006021,4243,1300,1145,5543,7899
112,2,0.012086,8356,1221,1013,9577,13961
113,1,0.019157,4712,2889,866,7601,30341
114,1,0.01196,4695,1453,683,6148,16606
115,2,0.015015,9307,3454,3100,12761,20734
116,1,0.00585,4046,532,437,4578,6841
117,1,0.005872,4036,546,456,4582,6681
118,1,0.01111,4630,1296,650,5926,13548
119,7,0.074992,34698,14125,10524,48823,103140
120,2,0.013738,9119,1339,1084,10458,16031
121,5,0.047544,23799,5578,3053,29377,60662
122,1,0.012125,5265,1372,645,6637,14303
123,1,0.021619,5259,3272,1091,8531,30861
124,10,0.079774,51245,16018,13689,67263,105046
125,1,0.006787,4381,578,490,4959,5743
126,1,0.011574,5124,1290,604,6414,14092
127,1,0.011888,5103,1357,633,6460,14616
129,1,0.006338,4320,429,341,4749,6825
130,1,0.015619,5109,2102,801,7211,21606
131,1,0.004821,4307,889,711,5196,5408
132,2,0.013716,9264,1607,1398,10871,15496
133,1,0.012693,4978,1543,617,6521,16221
134,1,0.004672,4117,871,729,4988,4633
135,1,0.005888,4354,716,617,5070,5096
136,1,0.016892,4722,2434,976,7156,26511
137,2,0.01535,8896,3634,3298,12530,20087
138,1,0.006523,4304,511,401,4815,6690
139,1,0.013641,4751,1778,736,6529,18823
140,5,0.06627,25548,12669,8362,38217,97304
