mortgage_id,player_id,space_index,mortgage_event_id,mortgage_seq,mortgage_turn,mortgage_amount,unmortgage_event_id,unmortgage_seq,unmortgage_turn,unmortgage_amount,duration_turns,financing_cost,censored
mortgage-0001,OpenAI GPT 5.5,31,mock-83265-81ed4937-evt-000361,361,25,150,mock-83265-81ed4937-evt-002683,2683,105,165,80,15,False
mortgage-0002,OpenAI GPT 5.5,19,mock-83265-81ed4937-evt-000373,373,25,100,mock-83265-81ed4937-evt-001974,1974,79,111,54,11,False
mortgage-0003,OpenAI GPT 5.5,3,mock-83265-81ed4937-evt-000385,385,25,30,,,,,,,True
mortgage-0004,OpenAI GPT 5.5,28,mock-83265-81ed4937-evt-000915,915,41,75,mock-83265-81ed4937-evt-001504,1504,55,83,14,8,False
mortgage-0005,Gemini 3.1 Pro Preview,19,mock-83265-81ed4937-evt-001240,1240,48,100,,,,,,,True
mortgage-0006,OpenAI GPT 5.5,23,mock-83265-81ed4937-evt-001266,1266,50,110,mock-83265-81ed4937-evt-001498,1498,55,122,5,12,False
mortgage-0007,Grok 4.3,16,mock-83265-81ed4937-evt-001439,1439,54,90,,,,,,,True
mortgage-0008,Claude Opus 4.8,29,mock-83265-81ed4937-evt-001669,1669,64,140,,,,,,,True
mortgage-0009,Claude Opus 4.8,24,mock-83265-81ed4937-evt-001675,1675,64,120,,,,,,,True
mortgage-0010,Claude Opus 4.8,18,mock-83265-81ed4937-evt-001681,1681,64,90,,,,,,,True
mortgage-0011,Claude Opus 4.8,21,mock-83265-81ed4937-evt-001687,1687,64,110,,,,,,,True
mortgage-0012,Claude Opus 4.8,25,mock-83265-81ed4937-evt-001693,1693,64,100,,,,,,,True
mortgage-0013,Gemini 3.1 Pro Preview,39,mock-83265-81ed4937-evt-001834,1834,77,200,mock-83265-81ed4937-evt-002154,2154,81,221,4,21,False
mortgage-0014,Gemini 3.1 Pro Preview,37,mock-83265-81ed4937-evt-001840,1840,77,175,mock-83265-81ed4937-evt-002160,2160,81,193,4,18,False
mortgage-0015,OpenAI GPT 5.5,5,mock-83265-81ed4937-evt-002334,2334,88,100,mock-83265-81ed4937-evt-002539,2539,99,111,11,11,False
mortgage-0016,OpenAI GPT 5.5,23,mock-83265-81ed4937-evt-002340,2340,88,110,mock-83265-81ed4937-evt-002551,2551,99,122,11,12,False
mortgage-0017,OpenAI GPT 5.5,29,mock-83265-81ed4937-evt-002346,2346,88,140,mock-83265-81ed4937-evt-002563,2563,99,154,11,14,False
mortgage-0018,OpenAI GPT 5.5,16,mock-83265-81ed4937-evt-002352,2352,88,90,mock-83265-81ed4937-evt-002557,2557,99,100,11,10,False
mortgage-0019,OpenAI GPT 5.5,19,mock-83265-81ed4937-evt-002358,2358,88,100,mock-83265-81ed4937-evt-002545,2545,99,111,11,11,False
mortgage-0020,OpenAI GPT 5.5,31,mock-83265-81ed4937-evt-002364,2364,88,150,,,,,,,True
mortgage-0021,OpenAI GPT 5.5,32,mock-83265-81ed4937-evt-002391,2391,89,150,mock-83265-81ed4937-evt-002689,2689,105,165,16,15,False
mortgage-0022,Gemini 3.1 Pro Preview,12,mock-83265-81ed4937-evt-002413,2413,91,75,,,,,,,True
mortgage-0023,Gemini 3.1 Pro Preview,28,mock-83265-81ed4937-evt-002419,2419,91,75,,,,,,,True
mortgage-0024,Grok 4.3,26,mock-83265-81ed4937-evt-002496,2496,98,130,,,,,,,True
mortgage-0025,Grok 4.3,27,mock-83265-81ed4937-evt-002502,2502,98,130,,,,,,,True
mortgage-0026,Gemini 3.1 Pro Preview,39,mock-83265-81ed4937-evt-002622,2622,103,200,,,,,,,True
mortgage-0027,Gemini 3.1 Pro Preview,37,mock-83265-81ed4937-evt-002628,2628,103,175,,,,,,,True
mortgage-0028,OpenAI GPT 5.5,16,mock-83265-81ed4937-evt-002719,2719,106,90,,,,,,,True
mortgage-0029,OpenAI GPT 5.5,29,mock-83265-81ed4937-evt-002733,2733,106,140,,,,,,,True
mortgage-0030,OpenAI GPT 5.5,23,mock-83265-81ed4937-evt-002739,2739,106,110,,,,,,,True
mortgage-0031,OpenAI GPT 5.5,19,mock-83265-81ed4937-evt-002751,2751,106,100,,,,,,,True
mortgage-0032,OpenAI GPT 5.5,5,mock-83265-81ed4937-evt-002757,2757,106,100,,,,,,,True
mortgage-0033,Grok 4.3,15,mock-83265-81ed4937-evt-002842,2842,113,100,,,,,,,True
mortgage-0034,Grok 4.3,35,mock-83265-81ed4937-evt-002848,2848,113,100,,,,,,,True
mortgage-0035,OpenAI GPT 5.5,35,mock-83265-81ed4937-evt-002964,2964,119,100,,,,,,,True
mortgage-0036,OpenAI GPT 5.5,15,mock-83265-81ed4937-evt-003201,3201,132,100,,,,,,,True
mortgage-0037,OpenAI GPT 5.5,3,mock-83265-81ed4937-evt-003675,3675,169,30,,,,,,,True
mortgage-0038,OpenAI GPT 5.5,1,mock-83265-81ed4937-evt-003681,3681,169,30,,,,,,,True
mortgage-0039,OpenAI GPT 5.5,14,mock-83265-81ed4937-evt-003736,3736,172,80,,,,,,,True
mortgage-0040,OpenAI GPT 5.5,11,mock-83265-81ed4937-evt-003742,3742,172,70,,,,,,,True
mortgage-0041,OpenAI GPT 5.5,13,mock-83265-81ed4937-evt-003748,3748,172,70,,,,,,,True
