event_type,count
LLM_DECISION_REQUESTED,396
LLM_DECISION_RESPONSE,396
LLM_PRIVATE_THOUGHT,396
LLM_PUBLIC_MESSAGE,396
CASH_CHANGED,310
PLAYER_MOVED,162
DICE_ROLLED,155
TURN_ENDED,154
TURN_STARTED,154
RENT_PAID,58
TRADE_PROPOSED,45
PROPERTY_PURCHASED,43
HOUSE_BUILT,38
TRADE_REJECTED,37
PROPERTY_MORTGAGED,24
CARD_DRAWN,22
HOUSE_SOLD,19
PROPERTY_UNMORTGAGED,18
AUCTION_BID_PLACED,14
AUCTION_PLAYER_DROPPED,14
PROPERTY_TRANSFERRED,13
HOTEL_BUILT,10
TRADE_COUNTERED,10
HOTEL_SOLD,8
TRADE_ACCEPTED,8
AUCTION_ENDED,5
AUCTION_STARTED,5
SENT_TO_JAIL,4
GAME_ENDED,1
GAME_STARTED,1
