mortgage_id,player_id,space_index,mortgage_event_id,mortgage_seq,mortgage_turn,mortgage_amount,unmortgage_event_id,unmortgage_seq,unmortgage_turn,unmortgage_amount,duration_turns,financing_cost,censored
mortgage-0001,OpenAI GPT 5.5,29,mock-3676466999-527872e4-evt-000836,836,41,140,,,,,,,True
mortgage-0002,OpenAI GPT 5.5,3,mock-3676466999-527872e4-evt-000894,894,45,30,mock-3676466999-527872e4-evt-003102,3102,147,33,102,3,False
mortgage-0003,OpenAI GPT 5.5,18,mock-3676466999-527872e4-evt-000900,900,45,90,,,,,,,True
mortgage-0004,OpenAI GPT 5.5,24,mock-3676466999-527872e4-evt-000906,906,45,120,mock-3676466999-527872e4-evt-001406,1406,70,132,25,12,False
mortgage-0005,OpenAI GPT 5.5,23,mock-3676466999-527872e4-evt-000912,912,45,110,mock-3676466999-527872e4-evt-001418,1418,70,122,25,12,False
mortgage-0006,OpenAI GPT 5.5,21,mock-3676466999-527872e4-evt-000955,955,49,110,mock-3676466999-527872e4-evt-001412,1412,70,122,21,12,False
mortgage-0007,OpenAI GPT 5.5,24,mock-3676466999-527872e4-evt-001529,1529,77,120,,,,,,,True
mortgage-0008,OpenAI GPT 5.5,39,mock-3676466999-527872e4-evt-001752,1752,85,200,mock-3676466999-527872e4-evt-001764,1764,85,221,0,21,False
mortgage-0009,OpenAI GPT 5.5,34,mock-3676466999-527872e4-evt-001758,1758,85,160,mock-3676466999-527872e4-evt-002208,2208,111,176,26,16,False
mortgage-0010,OpenAI GPT 5.5,26,mock-3676466999-527872e4-evt-001814,1814,86,130,,,,,,,True
mortgage-0011,OpenAI GPT 5.5,39,mock-3676466999-527872e4-evt-001992,1992,96,200,mock-3676466999-527872e4-evt-002133,2133,106,221,10,21,False
mortgage-0012,Grok 4.3,5,mock-3676466999-527872e4-evt-002322,2322,117,100,,,,,,,True
mortgage-0013,Grok 4.3,15,mock-3676466999-527872e4-evt-002328,2328,117,100,,,,,,,True
mortgage-0014,Grok 4.3,25,mock-3676466999-527872e4-evt-002334,2334,117,100,,,,,,,True
mortgage-0015,Grok 4.3,35,mock-3676466999-527872e4-evt-002340,2340,117,100,,,,,,,True
mortgage-0016,Grok 4.3,37,mock-3676466999-527872e4-evt-002346,2346,117,175,,,,,,,True
mortgage-0017,OpenAI GPT 5.5,39,mock-3676466999-527872e4-evt-002464,2464,118,200,mock-3676466999-527872e4-evt-002476,2476,118,221,0,21,False
mortgage-0018,OpenAI GPT 5.5,34,mock-3676466999-527872e4-evt-002470,2470,118,160,,,,,,,True
mortgage-0019,OpenAI GPT 5.5,25,mock-3676466999-527872e4-evt-002652,2652,126,100,mock-3676466999-527872e4-evt-002701,2701,126,111,0,11,False
mortgage-0020,OpenAI GPT 5.5,5,mock-3676466999-527872e4-evt-002658,2658,126,100,mock-3676466999-527872e4-evt-002785,2785,130,111,4,11,False
mortgage-0021,Gemini 3.1 Pro Preview,23,mock-3676466999-527872e4-evt-002721,2721,128,110,,,,,,,True
mortgage-0022,Gemini 3.1 Pro Preview,21,mock-3676466999-527872e4-evt-002727,2727,128,110,,,,,,,True
mortgage-0023,Gemini 3.1 Pro Preview,19,mock-3676466999-527872e4-evt-002733,2733,128,100,,,,,,,True
mortgage-0024,Gemini 3.1 Pro Preview,28,mock-3676466999-527872e4-evt-002739,2739,128,75,,,,,,,True
mortgage-0025,Gemini 3.1 Pro Preview,16,mock-3676466999-527872e4-evt-002745,2745,128,90,,,,,,,True
mortgage-0026,Gemini 3.1 Pro Preview,12,mock-3676466999-527872e4-evt-002751,2751,128,75,,,,,,,True
mortgage-0027,Grok 4.3,39,mock-3676466999-527872e4-evt-002768,2768,129,200,,,,,,,True
mortgage-0028,OpenAI GPT 5.5,1,mock-3676466999-527872e4-evt-003221,3221,155,30,,,,,,,True
mortgage-0029,OpenAI GPT 5.5,3,mock-3676466999-527872e4-evt-003227,3227,155,30,,,,,,,True
