player_id,action,count
Claude Opus 4.8,accept_trade,1
Claude Opus 4.8,bid_auction,7
Claude Opus 4.8,build_houses_or_hotel,9
Claude Opus 4.8,buy_property,6
Claude Opus 4.8,counter_trade,5
Claude Opus 4.8,drop_out,8
Claude Opus 4.8,end_turn,43
Claude Opus 4.8,mortgage_property,5
Claude Opus 4.8,pay_jail_fine,1
Claude Opus 4.8,propose_trade,1
Claude Opus 4.8,reject_trade,27
Claude Opus 4.8,roll_for_doubles,6
Claude Opus 4.8,sell_houses_or_hotel,1
Claude Opus 4.8,start_auction,1
Gemini 3.1 Pro Preview,accept_trade,7
Gemini 3.1 Pro Preview,bid_auction,23
Gemini 3.1 Pro Preview,build_houses_or_hotel,3
Gemini 3.1 Pro Preview,buy_property,3
Gemini 3.1 Pro Preview,counter_trade,9
Gemini 3.1 Pro Preview,declare_bankruptcy,1
Gemini 3.1 Pro Preview,drop_out,7
Gemini 3.1 Pro Preview,end_turn,33
Gemini 3.1 Pro Preview,mortgage_property,7
Gemini 3.1 Pro Preview,propose_trade,3
Gemini 3.1 Pro Preview,reject_trade,15
Gemini 3.1 Pro Preview,sell_houses_or_hotel,4
Gemini 3.1 Pro Preview,start_auction,1
Gemini 3.1 Pro Preview,unmortgage_property,5
Grok 4.3,bid_auction,9
Grok 4.3,buy_property,3
Grok 4.3,counter_trade,2
Grok 4.3,drop_out,7
Grok 4.3,end_turn,25
Grok 4.3,mortgage_property,5
Grok 4.3,reject_trade,15
Grok 4.3,start_auction,2
OpenAI GPT 5.5,accept_trade,2
OpenAI GPT 5.5,bid_auction,18
OpenAI GPT 5.5,build_houses_or_hotel,22
OpenAI GPT 5.5,buy_property,7
OpenAI GPT 5.5,counter_trade,11
OpenAI GPT 5.5,drop_out,5
OpenAI GPT 5.5,end_turn,52
OpenAI GPT 5.5,mortgage_property,19
OpenAI GPT 5.5,pay_jail_fine,2
OpenAI GPT 5.5,propose_trade,63
OpenAI GPT 5.5,roll_for_doubles,6
OpenAI GPT 5.5,sell_houses_or_hotel,3
OpenAI GPT 5.5,start_auction,5
OpenAI GPT 5.5,unmortgage_property,14
