turn_index,events
0,17
1,14
2,14
3,14
4,82
5,10
6,14
7,14
8,41
9,8
10,11
11,11
12,93
13,19
14,14
15,14
16,62
17,11
18,14
19,9
20,75
21,55
22,10
23,17
24,34
25,9
26,33
27,11
28,11
29,11
30,54
31,50
32,8
33,8
34,11
35,23
36,14
37,11
38,11
39,17
40,9
41,11
42,8
43,67
44,15
45,8
46,9
47,40
48,8
49,10
50,9
51,8
52,47
53,11
54,11
55,8
56,11
57,46
58,11
59,8
60,8
61,14
62,76
63,8
64,17
65,11
66,29
67,28
68,10
69,11
70,8
71,11
72,9
73,127
74,22
75,11
76,9
77,84
78,8
79,8
80,21
81,11
82,66
83,16
84,17
85,8
86,98
87,11
88,11
89,11
90,27
91,9
92,17
93,8
94,18
95,35
96,8
97,11
98,28
99,15
100,12
101,8
102,8
103,56
104,17
105,8
106,13
107,15
108,9
109,6
110,8
111,7
112,11
113,21
114,19
115,1
