turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,OpenAI GPT 5.4 mini,2,0.002632,2561,158,68,2719,5399
1,Claude Haiku 4.5,1,0.004363,2028,467,336,2495,5746
2,Gemini 3.5 Flash,2,0.009125,3191,482,321,3673,4188
3,Grok 4.3,1,0.002957,1769,352,304,2121,7921
4,OpenAI GPT 5.4 mini,2,0.003448,3253,224,118,3477,7525
5,Claude Haiku 4.5,2,0.021776,4846,3386,1598,8232,33751
6,Gemini 3.5 Flash,1,0.007099,2237,416,336,2653,3053
7,Claude Haiku 4.5,1,0.008315,2715,1120,577,3835,12635
7,Gemini 3.5 Flash,3,0.020483,7589,1011,696,8600,7389
7,Grok 4.3,3,0.011473,6795,1353,1182,8148,26210
7,OpenAI GPT 5.4 mini,4,0.012058,9242,1408,1163,10650,22926
8,OpenAI GPT 5.4 mini,2,0.006025,5118,486,368,5604,9204
9,Claude Haiku 4.5,2,0.020186,6716,2694,1356,9410,28016
10,Gemini 3.5 Flash,2,0.015171,5890,704,506,6594,4436
11,Grok 4.3,1,0.004534,2787,474,427,3261,7925
12,OpenAI GPT 5.4 mini,2,0.005774,5395,384,267,5779,9570
13,Claude Haiku 4.5,3,0.030149,10904,3849,1732,14753,42564
13,Gemini 3.5 Flash,3,0.022098,9308,904,603,10212,6895
13,Grok 4.3,1,0.004383,2628,493,418,3121,9136
13,OpenAI GPT 5.4 mini,3,0.012119,8413,1291,1045,9704,20474
14,Gemini 3.5 Flash,1,0.010998,3480,642,539,4122,3487
15,Grok 4.3,2,0.009054,5821,980,850,6801,15561
16,Grok 4.3,2,0.010989,6365,1482,1341,7847,24830
16,OpenAI GPT 5.4 mini,4,0.024402,11884,3442,3070,15326,41546
17,OpenAI GPT 5.4 mini,3,0.015954,9134,2023,1828,11157,24394
18,Claude Haiku 4.5,1,0.01171,4185,1505,626,5690,13697
19,Gemini 3.5 Flash,3,0.039591,10626,2628,2171,13254,14911
19,OpenAI GPT 5.4 mini,1,0.003553,3069,278,207,3347,3856
20,Grok 4.3,1,0.00501,3420,509,436,3929,11335
21,Grok 4.3,1,0.005022,3408,520,418,3928,9043
21,OpenAI GPT 5.4 mini,3,0.016452,9378,2093,1834,11471,26712
22,Claude Haiku 4.5,1,0.014402,4377,2005,833,6382,24536
23,Gemini 3.5 Flash,2,0.023558,7149,1426,1215,8575,10166
24,Grok 4.3,2,0.009772,6635,860,683,7495,17128
25,Grok 4.3,1,0.004981,3555,618,528,4173,12511
26,Grok 4.3,1,0.005239,3519,551,454,4070,10478
27,OpenAI GPT 5.4 mini,1,0.004442,3078,474,398,3552,7691
28,OpenAI GPT 5.4 mini,2,0.011155,6155,1453,1324,7608,16878
29,Claude Haiku 4.5,1,0.010838,4383,1291,511,5674,12766
