mortgage_id,player_id,space_index,mortgage_event_id,mortgage_seq,mortgage_turn,mortgage_amount,unmortgage_event_id,unmortgage_seq,unmortgage_turn,unmortgage_amount,duration_turns,financing_cost,censored
mortgage-0001,OpenAI GPT 5.4 mini,3,mock-64394-c3bb8d94-evt-002084,2084,130,30,,,,,,,True
mortgage-0002,OpenAI GPT 5.4 mini,28,mock-64394-c3bb8d94-evt-002093,2093,130,75,,,,,,,True
mortgage-0003,OpenAI GPT 5.4 mini,15,mock-64394-c3bb8d94-evt-002207,2207,134,100,,,,,,,True
mortgage-0004,Grok 4.3,1,mock-64394-c3bb8d94-evt-002400,2400,149,30,,,,,,,True
mortgage-0005,Claude Haiku 4.5,9,mock-64394-c3bb8d94-evt-002418,2418,150,60,,,,,,,True
mortgage-0006,Claude Haiku 4.5,35,mock-64394-c3bb8d94-evt-002424,2424,150,100,,,,,,,True
mortgage-0007,Claude Haiku 4.5,25,mock-64394-c3bb8d94-evt-002430,2430,150,100,,,,,,,True
mortgage-0008,Claude Haiku 4.5,13,mock-64394-c3bb8d94-evt-002482,2482,153,70,,,,,,,True
mortgage-0009,Claude Haiku 4.5,14,mock-64394-c3bb8d94-evt-002488,2488,153,80,,,,,,,True
mortgage-0010,Gemini 3.5 Flash,39,mock-64394-c3bb8d94-evt-002524,2524,154,200,,,,,,,True
mortgage-0011,Gemini 3.5 Flash,34,mock-64394-c3bb8d94-evt-002530,2530,154,160,,,,,,,True
mortgage-0012,Gemini 3.5 Flash,12,mock-64394-c3bb8d94-evt-002536,2536,154,75,,,,,,,True
mortgage-0013,Gemini 3.5 Flash,31,mock-64394-c3bb8d94-evt-002575,2575,154,150,,,,,,,True
