promise_id,creation_turn,creation_decision_id,creation_message_event_id,creation_evidence,promisor_player_id,promisor,promisee_player_ids_json,promisee,terms,conditions,deadline,modifications_json,modifications,later_evidence_ids_json,later_evidence,condition_met,earliest_due_turn,latest_due_turn,feasible_when_due,disposition,consequence,confidence,epistemic_note,cross_links_json
PRM-0000,25,mock-83265-81ed4937-dec-000041,,mock-83265-81ed4937-dec-000041,OpenAI GPT 5.5,OpenAI GPT 5.5,"[""Claude Opus 4.8""]","[""Claude Opus 4.8""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]},""request"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]},""to_player_id"":""Claude Opus 4.8""}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000041""]"
PRM-0001,25,mock-83265-81ed4937-dec-000043,,mock-83265-81ed4937-dec-000043,OpenAI GPT 5.5,OpenAI GPT 5.5,"[""Claude Opus 4.8""]","[""Claude Opus 4.8""]","{""offer"":{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]},""request"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]},""to_player_id"":""Claude Opus 4.8""}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000043""]"
PRM-0002,25,mock-83265-81ed4937-dec-000044,,mock-83265-81ed4937-dec-000044,Claude Opus 4.8,Claude Opus 4.8,"[""trade_counterparty""]","[""trade_counterparty""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]},""request"":{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000044""]"
PRM-0003,25,mock-83265-81ed4937-dec-000053,,mock-83265-81ed4937-dec-000053,OpenAI GPT 5.5,OpenAI GPT 5.5,"[""Claude Opus 4.8""]","[""Claude Opus 4.8""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]},""request"":{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]},""to_player_id"":""Claude Opus 4.8""}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000053""]"
PRM-0004,25,mock-83265-81ed4937-dec-000055,,mock-83265-81ed4937-dec-000055,OpenAI GPT 5.5,OpenAI GPT 5.5,"[""Gemini 3.1 Pro Preview""]","[""Gemini 3.1 Pro Preview""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]},""request"":{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]},""to_player_id"":""Gemini 3.1 Pro Preview""}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000055""]"
PRM-0005,25,mock-83265-81ed4937-dec-000056,,mock-83265-81ed4937-dec-000056,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,"[""trade_counterparty""]","[""trade_counterparty""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[]},""request"":{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]}}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000056""]"
PRM-0006,25,mock-83265-81ed4937-dec-000057,,mock-83265-81ed4937-dec-000057,OpenAI GPT 5.5,OpenAI GPT 5.5,"[""trade_counterparty""]","[""trade_counterparty""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]},""request"":{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000057""]"
PRM-0007,25,mock-83265-81ed4937-dec-000058,,mock-83265-81ed4937-dec-000058,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,"[""trade_counterparty""]","[""trade_counterparty""]","{""offer"":{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]},""request"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]}}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000058""]"
PRM-0008,25,mock-83265-81ed4937-dec-000059,,mock-83265-81ed4937-dec-000059,OpenAI GPT 5.5,OpenAI GPT 5.5,"[""trade_counterparty""]","[""trade_counterparty""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]},""request"":{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000059""]"
PRM-0009,25,mock-83265-81ed4937-dec-000062,,mock-83265-81ed4937-dec-000062,OpenAI GPT 5.5,OpenAI GPT 5.5,"[""Grok 4.3""]","[""Grok 4.3""]","{""offer"":{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""BALTIC_AVENUE""]},""request"":{""cash"":50,""get_out_of_jail_cards"":0,""properties"":[]},""to_player_id"":""Grok 4.3""}",Engine-valid counterparty acceptance of this exact offer before rejection/counter/expiry.,Current synchronous trade thread.,[],[],[],[],false,25,25,yes_engine_valid_offer,ambiguous_not_testable,no independently testable future obligation,high_for_engine_disposition_medium_for_natural_language_commitment,A synchronous conditional offer is not a long-horizon promise; a counter or rejection terminates it and is not breach.,"[""RB-024-026"",""mock-83265-81ed4937-dec-000062""]"
