turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,Claude Opus 4.8,2,0.033555,5146,313,31,5459,8061
1,Gemini 3.1 Pro Preview,2,0.011054,3109,403,284,3512,6747
2,Grok 4.3,2,0.00566,3575,611,478,4186,12235
3,Claude Opus 4.8,1,0.02468,3866,214,30,4080,4996
3,Gemini 3.1 Pro Preview,1,0.008272,2054,347,247,2401,5157
3,Grok 4.3,1,0.003944,2483,390,301,2873,7931
3,OpenAI GPT 5.5,4,0.075065,7855,1577,1096,9432,51715
4,Claude Opus 4.8,2,0.054455,8741,430,75,9171,10915
5,Gemini 3.1 Pro Preview,1,0.008728,2828,256,183,3084,3927
6,Grok 4.3,2,0.008119,5598,610,471,6208,13229
7,Claude Opus 4.8,1,0.03411,5417,281,37,5698,5371
7,Gemini 3.1 Pro Preview,1,0.01258,3284,501,369,3785,6633
7,Grok 4.3,1,0.004348,3148,407,312,3555,8491
7,OpenAI GPT 5.5,4,0.117515,11653,1975,1420,13628,63916
8,Claude Opus 4.8,2,0.071755,11376,595,126,11971,14348
9,Gemini 3.1 Pro Preview,2,0.019298,6667,497,342,7164,8133
10,Grok 4.3,1,0.005458,3440,544,429,3984,10614
11,Claude Opus 4.8,1,0.036695,6044,259,30,6303,7454
11,Gemini 3.1 Pro Preview,1,0.013446,3405,553,425,3958,6231
11,Grok 4.3,1,0.00525,3610,537,426,4147,10272
11,OpenAI GPT 5.5,4,0.1349,12970,2335,1758,15305,81133
12,Claude Opus 4.8,1,0.03988,6461,303,85,6764,6573
13,Claude Opus 4.8,2,0.07568,12471,533,122,13004,12447
14,Gemini 3.1 Pro Preview,2,0.024212,7072,839,654,7911,10400
15,Grok 4.3,3,0.013375,10157,648,480,10805,21440
17,Claude Opus 4.8,2,0.08691,12322,1012,205,13334,17737
18,Gemini 3.1 Pro Preview,1,0.01639,3773,737,606,4510,8283
19,Grok 4.3,1,0.00469,3676,468,391,4144,8028
20,Claude Opus 4.8,5,0.247785,34377,3036,535,37413,57915
20,Gemini 3.1 Pro Preview,3,0.043064,12304,1538,1109,13842,19112
20,Grok 4.3,1,0.005818,3644,586,495,4230,7554
20,OpenAI GPT 5.5,10,0.36711,34278,6524,5077,40802,201586
21,Claude Opus 4.8,2,0.092675,14785,750,156,15535,16686
22,Claude Opus 4.8,2,0.092885,14972,721,104,15693,14628
23,Gemini 3.1 Pro Preview,1,0.015826,4499,569,477,5068,7231
24,Claude Opus 4.8,1,0.04567,6869,453,85,7322,8476
24,Gemini 3.1 Pro Preview,2,0.025118,7879,780,601,8659,11842
24,Grok 4.3,4,0.022219,14919,1885,1572,16804,36198
24,OpenAI GPT 5.5,2,0.051335,6937,555,377,7492,13115
25,Grok 4.3,1,0.005457,3643,415,330,4058,8523
26,Claude Opus 4.8,1,0.041715,6538,361,51,6899,6507
26,Gemini 3.1 Pro Preview,2,0.028882,7985,1076,855,9061,13364
26,Grok 4.3,1,0.005428,3768,368,263,4136,6574
26,OpenAI GPT 5.5,5,0.268305,16917,6124,5350,23041,165475
27,Claude Opus 4.8,1,0.049415,7238,529,151,7767,8610
28,Gemini 3.1 Pro Preview,1,0.01262,4144,361,299,4505,5218
29,Gemini 3.1 Pro Preview,1,0.011304,4086,261,205,4347,3946
30,Grok 4.3,1,0.005587,3895,368,282,4263,7215
31,Claude Opus 4.8,1,0.050035,7122,577,181,7699,9100
31,Gemini 3.1 Pro Preview,1,0.015734,4207,610,534,4817,7044
31,Grok 4.3,1,0.006108,4040,477,367,4517,7551
31,OpenAI GPT 5.5,5,0.258495,18039,5610,4924,23649,141508
32,OpenAI GPT 5.5,1,0.026145,3645,264,183,3909,6238
33,Claude Opus 4.8,1,0.049995,7129,574,183,7703,8556
35,Claude Opus 4.8,3,0.181885,19867,3302,599,23169,60175
35,Gemini 3.1 Pro Preview,3,0.036034,11213,1134,791,12347,15372
35,Grok 4.3,3,0.015221,10720,1454,1194,12174,26725
35,OpenAI GPT 5.5,3,0.08934,10254,1269,997,11523,30446
36,Grok 4.3,1,0.005666,3642,526,448,4168,9382
37,Claude Opus 4.8,2,0.09967,13999,1187,230,15186,20304
37,Gemini 3.1 Pro Preview,1,0.018444,3846,896,732,4742,9399
37,Grok 4.3,2,0.01152,7295,1095,936,8390,14447
37,OpenAI GPT 5.5,7,0.459685,24419,11253,10278,35672,277825
38,Claude Opus 4.8,3,0.141985,20442,1591,396,22033,35193
38,Gemini 3.1 Pro Preview,3,0.033018,11445,844,625,12289,12581
38,Grok 4.3,1,0.005592,3643,469,422,4112,8883
38,OpenAI GPT 5.5,2,0.052055,7135,546,366,7681,18032
39,Gemini 3.1 Pro Preview,2,0.029838,7491,1238,1096,8729,15386
40,Grok 4.3,1,0.005274,3709,309,241,4018,7224
41,Claude Opus 4.8,2,0.096,13380,1164,264,14544,19116
41,Gemini 3.1 Pro Preview,1,0.015016,3608,650,556,4258,7443
41,Grok 4.3,1,0.005337,3519,456,353,3975,8567
41,OpenAI GPT 5.5,5,0.34141,17030,8542,7792,25572,328902
43,Gemini 3.1 Pro Preview,2,0.023448,7404,720,585,8124,9233
44,Grok 4.3,1,0.005911,3814,538,472,4352,8102
45,OpenAI GPT 5.5,1,0.035515,3521,597,516,4118,15920
46,Claude Opus 4.8,1,0.047025,6260,629,122,6889,12674
47,Gemini 3.1 Pro Preview,2,0.026522,7333,988,857,8321,14913
48,Grok 4.3,1,0.004629,3779,392,317,4171,6609
49,Claude Opus 4.8,2,0.10334,12233,1687,343,13920,27506
49,Gemini 3.1 Pro Preview,1,0.012278,3313,471,393,3784,5704
49,Grok 4.3,4,0.021473,13636,2013,1669,15649,39734
49,OpenAI GPT 5.5,1,0.032095,3257,527,435,3784,10304
51,Claude Opus 4.8,1,0.03536,5642,286,81,5928,6402
52,Gemini 3.1 Pro Preview,1,0.013948,3446,588,521,4034,6413
53,Gemini 3.1 Pro Preview,1,0.012074,3439,433,365,3872,6353
54,Grok 4.3,1,0.004834,3453,449,362,3902,7641
55,OpenAI GPT 5.5,1,0.036555,2973,723,637,3696,16950
56,Claude Opus 4.8,3,0.112345,17329,1028,195,18357,18948
57,Claude Opus 4.8,2,0.11723,11936,2302,392,14238,36111
58,Gemini 3.1 Pro Preview,2,0.024188,6688,901,744,7589,11193
59,Grok 4.3,1,0.004595,3528,316,240,3844,6817
60,OpenAI GPT 5.5,1,0.0323,3034,571,461,3605,14196
61,Claude Opus 4.8,3,0.164375,18375,2900,727,21275,46239
61,Gemini 3.1 Pro Preview,2,0.031688,6610,1539,1317,8149,16438
61,Grok 4.3,1,0.004842,3273,623,554,3896,12267
61,OpenAI GPT 5.5,3,0.107505,9957,1924,1623,11881,44032
63,Grok 4.3,1,0.004602,3716,413,333,4129,6898
64,Gemini 3.1 Pro Preview,2,0.029618,7513,1216,1040,8729,13799
64,OpenAI GPT 5.5,5,0.253975,17189,5601,4941,22790,143448
65,Claude Opus 4.8,2,0.11169,14533,1561,301,16094,24378
65,Gemini 3.1 Pro Preview,4,0.064426,16559,2609,2197,19168,42265
65,OpenAI GPT 5.5,7,0.5445,27252,13608,12468,40860,331408
66,Claude Opus 4.8,1,0.073675,7995,1348,278,9343,22312
67,Claude Opus 4.8,1,0.07066,7912,1244,255,9156,19100
68,Claude Opus 4.8,2,0.11852,15139,1713,265,16852,28427
69,Gemini 3.1 Pro Preview,2,0.03647,8083,1692,1493,9775,22044
70,Grok 4.3,2,0.011453,8214,770,623,8984,17856
71,Claude Opus 4.8,2,0.092335,14607,772,169,15379,14970
71,Gemini 3.1 Pro Preview,3,0.04676,12208,1862,1462,14070,34023
71,OpenAI GPT 5.5,9,0.70237,33554,17820,16494,51374,685314
72,Claude Opus 4.8,1,0.06034,7908,832,213,8740,12762
73,Gemini 3.1 Pro Preview,1,0.01513,4433,522,435,4955,5877
74,Grok 4.3,1,0.005759,4209,629,558,4838,11079
75,Claude Opus 4.8,4,0.30899,32093,5941,1331,38034,91119
75,Gemini 3.1 Pro Preview,3,0.061456,14006,2787,2409,16793,30237
75,Grok 4.3,1,0.007,4541,610,553,5151,8935
75,OpenAI GPT 5.5,15,1.11376,64076,26446,24278,90522,770535
76,Claude Opus 4.8,2,0.133465,17728,1793,257,19521,29555
77,Claude Opus 4.8,4,0.28501,34137,4573,905,38710,75000
78,Gemini 3.1 Pro Preview,1,0.01684,4508,652,550,5160,7282
79,Grok 4.3,1,0.006082,4061,483,407,4544,7221
80,Gemini 3.1 Pro Preview,1,0.01472,4108,542,455,4650,7423
80,OpenAI GPT 5.5,3,0.12463,11180,2291,1921,13471,63108
81,Claude Opus 4.8,1,0.04209,7258,232,44,7490,5488
81,Gemini 3.1 Pro Preview,2,0.03154,8228,1257,1047,9485,14252
81,Grok 4.3,1,0.005421,3844,327,269,4171,5588
81,OpenAI GPT 5.5,5,0.2693,18346,5919,5208,24265,164952
82,Claude Opus 4.8,2,0.09897,16274,704,136,16978,11989
83,Gemini 3.1 Pro Preview,2,0.030334,8507,1110,952,9617,14221
84,Claude Opus 4.8,1,0.051485,6682,723,172,7405,13214
84,Gemini 3.1 Pro Preview,3,0.036596,11332,1161,895,12493,16942
84,Grok 4.3,3,0.014973,10929,901,718,11830,17253
84,OpenAI GPT 5.5,4,0.10678,13940,1236,895,15176,31102
85,OpenAI GPT 5.5,1,0.035025,3405,600,516,4005,16322
86,Claude Opus 4.8,4,0.21632,29279,2797,445,32076,47108
