turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,Claude Opus 4.8,1,0.016375,2585,138,6,2723,3713
1,Gemini 3.1 Pro Preview,1,0.00608,1486,259,203,1745,3932
2,Grok 4.3,2,0.005317,3286,645,492,3931,13316
3,Grok 4.3,3,0.009627,5752,1163,984,6915,24889
5,Grok 4.3,3,0.011665,7176,1320,1047,8496,26794
5,OpenAI GPT 5.5,4,0.07901,7648,1551,1082,9199,37298
6,Claude Opus 4.8,1,0.02774,4393,231,56,4624,5333
6,OpenAI GPT 5.5,3,0.07034,7264,1134,877,8398,24346
7,Claude Opus 4.8,2,0.062595,9229,658,185,9887,11774
8,Gemini 3.1 Pro Preview,2,0.018698,5767,597,449,6364,8628
9,Grok 4.3,1,0.004719,2971,456,378,3427,8542
10,Claude Opus 4.8,1,0.033015,5228,275,75,5503,6355
10,Gemini 3.1 Pro Preview,1,0.011008,3176,388,278,3564,4903
10,Grok 4.3,2,0.010831,6886,997,811,7883,22951
10,OpenAI GPT 5.5,5,0.154265,15385,2578,1902,17963,53391
11,Claude Opus 4.8,2,0.06854,10748,592,169,11340,11154
12,Gemini 3.1 Pro Preview,2,0.020882,6415,671,481,7086,9195
13,Gemini 3.1 Pro Preview,2,0.022188,6654,740,592,7394,10193
14,Gemini 3.1 Pro Preview,1,0.011604,3558,374,300,3932,4846
15,Grok 4.3,1,0.005306,3242,582,479,3824,15355
16,OpenAI GPT 5.5,1,0.033025,3173,572,505,3745,10754
17,Claude Opus 4.8,1,0.053315,5773,978,178,6751,14084
18,Claude Opus 4.8,1,0.03917,5784,410,116,6194,10626
19,Gemini 3.1 Pro Preview,2,0.022474,6539,783,611,7322,9764
20,Grok 4.3,3,0.014485,9415,1463,1240,10878,32876
21,Gemini 3.1 Pro Preview,2,0.026462,6787,1074,862,7861,15167
21,Grok 4.3,1,0.004802,3313,345,267,3658,9361
21,OpenAI GPT 5.5,4,0.13619,11860,2563,2064,14423,49990
22,Claude Opus 4.8,2,0.07928,11231,925,233,12156,15839
23,Gemini 3.1 Pro Preview,1,0.01418,3598,582,502,4180,7248
24,Gemini 3.1 Pro Preview,1,0.009952,3590,231,149,3821,3413
25,Claude Opus 4.8,1,0.042265,6078,475,89,6553,7872
25,Grok 4.3,3,0.017455,10464,1938,1632,12402,38143
26,OpenAI GPT 5.5,1,0.03395,3196,599,516,3795,15330
27,Claude Opus 4.8,2,0.082955,12016,915,201,12931,16126
28,Gemini 3.1 Pro Preview,2,0.023378,7021,778,596,7799,11885
29,Claude Opus 4.8,1,0.043715,6183,512,71,6695,9409
29,Grok 4.3,4,0.020903,14127,1943,1545,16070,35529
30,Gemini 3.1 Pro Preview,1,0.012856,3752,446,348,4198,5618
30,Grok 4.3,1,0.005826,3554,634,498,4188,12891
30,OpenAI GPT 5.5,4,0.15344,12838,2975,2531,15813,56342
31,Claude Opus 4.8,1,0.04818,6631,601,217,7232,9703
32,Gemini 3.1 Pro Preview,1,0.017632,3830,831,732,4661,8611
33,Grok 4.3,2,0.009792,7069,893,740,7962,18709
34,OpenAI GPT 5.5,1,0.073955,3277,1919,1849,5196,37842
35,Claude Opus 4.8,1,0.04028,6576,296,74,6872,5916
36,Claude Opus 4.8,2,0.0821,12585,767,230,13352,13993
37,Gemini 3.1 Pro Preview,1,0.016818,3789,770,698,4559,7292
38,Grok 4.3,2,0.009847,6976,827,663,7803,16142
39,OpenAI GPT 5.5,1,0.033165,3111,587,516,3698,12262
40,Claude Opus 4.8,2,0.10254,11898,1722,315,13620,26070
41,Gemini 3.1 Pro Preview,1,0.015984,3474,753,644,4227,7075
42,Grok 4.3,1,0.005375,3452,666,610,4118,11854
43,Grok 4.3,1,0.004943,3450,494,430,3944,8086
44,Claude Opus 4.8,2,0.09366,12872,1172,161,14044,19520
44,Gemini 3.1 Pro Preview,1,0.01455,3471,634,527,4105,6329
44,Grok 4.3,1,0.005602,3557,543,432,4100,10517
44,OpenAI GPT 5.5,5,0.26454,15852,6176,5538,22028,121391
45,Gemini 3.1 Pro Preview,1,0.014216,3880,538,430,4418,6015
45,Grok 4.3,1,0.005349,3885,439,332,4324,4086
45,OpenAI GPT 5.5,3,0.228315,10353,5885,5509,16238,112576
46,Gemini 3.1 Pro Preview,2,0.029234,8419,1033,790,9452,11858
46,Grok 4.3,2,0.010675,7966,932,714,8898,10719
46,OpenAI GPT 5.5,4,0.281825,14689,6946,6382,21635,132549
47,Claude Opus 4.8,1,0.04818,7451,437,91,7888,7219
48,Gemini 3.1 Pro Preview,1,0.011858,4189,290,211,4479,3658
49,Grok 4.3,2,0.011513,7700,1427,1237,9127,17345
50,OpenAI GPT 5.5,1,0.035325,3525,590,516,4115,12171
51,Claude Opus 4.8,4,0.252,29940,4092,543,34032,63017
51,Grok 4.3,1,0.006127,3898,905,809,4803,11928
52,Gemini 3.1 Pro Preview,1,0.016576,4106,697,578,4803,7041
53,Grok 4.3,1,0.005691,3929,742,653,4671,12071
54,Grok 4.3,1,0.005128,3729,590,491,4319,9113
54,OpenAI GPT 5.5,2,0.17837,6580,4849,4621,11429,97632
55,Claude Opus 4.8,2,0.10851,14427,1455,307,15882,24961
56,Claude Opus 4.8,2,0.10782,14554,1402,291,15956,22639
57,Gemini 3.1 Pro Preview,1,0.014564,3916,561,476,4477,6448
58,Grok 4.3,1,0.005105,3856,544,474,4400,5480
59,OpenAI GPT 5.5,1,0.06984,3348,1770,1696,5118,33934
60,Claude Opus 4.8,2,0.10607,14094,1424,261,15518,21878
61,Gemini 3.1 Pro Preview,1,0.011584,3740,342,250,4082,4647
62,Claude Opus 4.8,1,0.03632,6044,244,62,6288,5007
62,Gemini 3.1 Pro Preview,2,0.025628,7066,958,811,8024,10884
62,Grok 4.3,3,0.0147,10618,1485,1251,12103,22223
62,OpenAI GPT 5.5,2,0.064705,6233,1118,914,7351,24231
63,OpenAI GPT 5.5,1,0.03182,3238,521,435,3759,13171
65,Gemini 3.1 Pro Preview,1,0.012642,3711,435,345,4146,4565
67,Grok 4.3,2,0.009737,7093,1074,883,8167,11789
