turn_index,space_index,space_name,space_kind,space_group,price,owner_id,mortgaged,houses,hotel
3,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
4,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
4,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
5,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
5,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
6,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
6,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
7,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
7,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
7,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
8,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
8,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
8,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
8,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
9,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
9,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
9,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
9,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
9,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
10,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
10,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
10,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
10,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
10,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
11,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
11,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
11,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
11,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
11,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
12,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
12,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
12,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
12,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
12,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
12,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
13,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
13,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
13,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
13,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
13,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
13,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
13,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
14,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
14,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
14,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
14,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
14,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
14,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
14,29,Marvin Gardens,PROPERTY,YELLOW,280,Gemini 3.1 Pro Preview,False,0,False
14,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
15,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
15,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
15,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
15,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
15,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
15,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
15,29,Marvin Gardens,PROPERTY,YELLOW,280,Gemini 3.1 Pro Preview,False,0,False
15,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
16,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
16,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
16,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
16,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
16,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
16,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
16,29,Marvin Gardens,PROPERTY,YELLOW,280,Gemini 3.1 Pro Preview,False,0,False
16,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
17,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
17,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
17,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
17,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
17,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
17,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
17,29,Marvin Gardens,PROPERTY,YELLOW,280,Gemini 3.1 Pro Preview,False,0,False
17,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
18,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
18,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
18,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
18,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
18,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
18,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
18,29,Marvin Gardens,PROPERTY,YELLOW,280,Gemini 3.1 Pro Preview,False,0,False
18,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
19,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
19,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
19,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
19,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
19,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
19,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
19,29,Marvin Gardens,PROPERTY,YELLOW,280,Gemini 3.1 Pro Preview,False,0,False
19,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
20,5,Reading Railroad,RAILROAD,RAILROAD,200,Gemini 3.1 Pro Preview,False,0,False
20,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
20,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
20,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
20,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
20,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
20,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
20,29,Marvin Gardens,PROPERTY,YELLOW,280,Gemini 3.1 Pro Preview,False,0,False
20,39,Boardwalk,PROPERTY,DARK_BLUE,400,OpenAI GPT 5.5,False,0,False
21,5,Reading Railroad,RAILROAD,RAILROAD,200,Gemini 3.1 Pro Preview,False,0,False
21,8,Vermont Avenue,PROPERTY,LIGHT_BLUE,100,Grok 4.3,False,0,False
21,11,St. Charles Place,PROPERTY,PINK,140,Gemini 3.1 Pro Preview,False,0,False
21,16,St. James Place,PROPERTY,ORANGE,180,Claude Opus 4.8,False,0,False
21,18,Tennessee Avenue,PROPERTY,ORANGE,180,Grok 4.3,False,0,False
21,19,New York Avenue,PROPERTY,ORANGE,200,Gemini 3.1 Pro Preview,False,0,False
21,25,B. & O. Railroad,RAILROAD,RAILROAD,200,Claude Opus 4.8,False,0,False
