call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
305,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000300,0,141,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3427,5075,4927,8502,0,0.169385,98134,False,False,,,200,gen-1784092728-vTe4bDIOyZvIUtsmJy8c
323,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000317,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4151,4790,4628,8941,0,0.164455,127614,False,False,,,200,gen-1784093297-xLBgDPlmp4AY4npn6Ht7
320,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000315,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3865,3869,3693,7734,0,0.135395,98389,False,False,,,200,gen-1784093184-rNqXrjrsJwtCfr1moYcP
346,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000339,0,148,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3911,3657,3492,7568,0,0.129265,74669,False,False,,,200,gen-1784093806-otzfJ5zdyBNzbVyVomHB
312,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000307,0,144,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3616,3598,3499,7214,0,0.12602,71577,False,False,,,200,gen-1784092988-7ZjD3VXjEvngSnEXZYMn
307,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000302,0,141,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3510,3474,3310,6984,0,0.12177,71013,False,False,,,200,gen-1784092834-IRB9WfcqHo0UClsoOAvf
130,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000127,0,54,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3290,3254,3106,6544,0,0.11407,65965,False,False,,,200,gen-1784090640-6fkTaKn5uhdl3mIuq4rg
326,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000319,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4341,3060,2877,7401,0,0.113505,81691,False,False,,,200,gen-1784093442-XfZppAUODQUEE1REcTiu
115,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000112,0,46,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3755,2905,2752,6660,0,0.105925,53744,False,False,,,200,gen-1784090431-it0303Rjt0dp9Ym9kigm
330,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000323,0,145,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4061,2644,2490,6705,0,0.099625,55249,False,False,,,200,gen-1784093597-hABd6LD9DiTomo1Nv8Ln
105,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000103,0,45,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3348,2584,2413,5932,0,0.09426,47305,False,False,,,200,gen-1784090222-AlQoD249d5OTp3d6p9Nu
309,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000304,0,141,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3614,2516,2408,6130,0,0.09355,51797,False,False,,,200,gen-1784092910-U6WsPPNPCGpRMTd9YW9J
263,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000258,0,115,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3502,2495,2389,5997,0,0.09236,49016,False,False,,,200,gen-1784092186-J7lBTZ7X6QgFMKgD7lM5
328,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000321,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4533,2290,2190,6823,0,0.091365,57238,False,False,,,200,gen-1784093534-SErchlE9xBC9MUISJHNu
107,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000105,0,45,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3461,2211,2070,5672,0,0.083635,43870,False,False,,,200,gen-1784090276-ESjP0ApmN12KlclV4q2C
214,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000211,0,86,AUCTION_BID_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,6909,2134,370,9043,0,0.087895,35274,False,False,,,200,gen-1784091621-2gpSsdSq7tbwLtRWjMWN
110,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000108,0,46,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3533,2131,1979,5664,0,0.081595,42060,False,False,,,200,gen-1784090346-EgzBiSLoslcjFanGuN5t
318,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000313,0,145,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3623,2124,1945,5747,0,0.081835,42450,False,False,,,200,gen-1784093124-A4AK7gqLRIyYvQM7ErJ8
365,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000358,0,159,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3223,2071,1910,5294,0,0.078245,42093,False,False,,,200,gen-1784094061-GQcQagJpxhJWEA5kgo9U
83,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000081,0,34,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3277,1919,1849,5196,0,0.073955,37842,False,False,,,200,gen-1784089913-ShKu3sNRDgnxFPklGEL0
165,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000162,0,75,TRADE_RESPONSE_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,6293,1872,318,8165,0,0.078265,29672,False,False,,,200,gen-1784091063-mK8jru9ViNixgHyIZxrQ
96,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000094,0,44,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2996,1866,1720,4862,0,0.07096,34289,False,False,,,200,gen-1784090063-i7nN54mYWMciV8cjh1br
223,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000219,0,91,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3418,1828,1744,5246,0,0.07193,36689,False,False,,,200,gen-1784091735-n4YnleREvQpiqSNIlBys
139,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000136,0,59,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3348,1770,1696,5118,0,0.06984,33934,False,False,,,200,gen-1784090808-cQ1F9y5ZlxL8ojtEf6bZ
259,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000254,0,113,AUCTION_BID_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,6560,1767,309,8327,0,0.076975,28148,False,False,,,200,gen-1784092139-ksUMXIKLdVh4oqTesd9s
247,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000242,0,105,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3425,1758,1626,5183,0,0.069865,35503,False,False,,,200,gen-1784092012-axvUjy5BZTCvskY7wTEd
348,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000341,0,148,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3911,1716,1552,5627,0,0.071035,37602,False,False,,,200,gen-1784093888-I0v2kyfX9QyFdhw8dhQ8
266,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000261,0,116,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,7743,1606,254,9349,0,0.078865,20727,False,False,,,200,gen-1784092287-s8tbFyf49ajLXmGNLPKj
132,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000129,0,54,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3290,1595,1515,4885,0,0.0643,31667,False,False,,,200,gen-1784090715-WwL42wnkNFqd75PaV0P2
265,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000260,0,115,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3463,1494,1409,4957,0,0.062135,31739,False,False,,,200,gen-1784092255-MehjoIlC5PW0c5rmUr0C
