decision_id,turn_index,player_id,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,latency_ms,applied,optimality_status
mock-44910-42ec35c5-dec-000000,0,OpenAI GPT 5.4 Mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2407,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000001,0,OpenAI GPT 5.4 Mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2960,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000002,1,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,10061,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000003,1,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,11181,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000004,2,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,13133,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000005,3,Gemini 3 Flash Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3001,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000006,4,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,7000,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000007,5,OpenAI GPT 5.4 Mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2250,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000008,6,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,18249,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000009,7,Gemini 3 Flash Preview,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2997,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000010,7,Gemini 3 Flash Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2681,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000011,8,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,5359,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000012,8,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,5085,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000013,9,OpenAI GPT 5.4 Mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3091,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000014,9,OpenAI GPT 5.4 Mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3136,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000015,10,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,14683,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000016,10,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,20225,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000017,11,Gemini 3 Flash Preview,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3108,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000018,11,Gemini 3 Flash Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,4102,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000019,12,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,7089,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000020,12,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,7227,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000021,13,OpenAI GPT 5.4 Mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2265,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000022,13,OpenAI GPT 5.4 Mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3646,True,NOT_SCORED_NO_ORACLE
mock-44910-42ec35c5-dec-000023,14,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,13582,True,NOT_SCORED_NO_ORACLE
