event_id,seq,turn_index,player_id,reason,delta,cash_before,cash_after,running_peak,drawdown_from_peak
mock-44910-42ec35c5-evt-000009,9,0,OpenAI GPT 5.4 Mini,buy_property,-140,1500,1360,1500,140
mock-44910-42ec35c5-evt-000023,23,1,Claude Haiku 4.5,buy_property,-100,1500,1400,1500,100
mock-44910-42ec35c5-evt-000040,40,3,Gemini 3 Flash Preview,RENT,-6,1500,1494,1500,6
mock-44910-42ec35c5-evt-000041,41,3,Claude Haiku 4.5,RENT,6,1400,1406,1500,94
mock-44910-42ec35c5-evt-000051,51,4,Grok 4.3,RENT,-6,1500,1494,1500,6
mock-44910-42ec35c5-evt-000052,52,4,Claude Haiku 4.5,RENT,6,1406,1412,1500,88
mock-44910-42ec35c5-evt-000063,63,5,OpenAI GPT 5.4 Mini,SCHOOL_FEES_PAY_50,-50,1360,1310,1500,190
mock-44910-42ec35c5-evt-000073,73,6,OpenAI GPT 5.4 Mini,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,-10,1310,1300,1500,200
mock-44910-42ec35c5-evt-000074,74,6,Claude Haiku 4.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,10,1412,1422,1500,78
mock-44910-42ec35c5-evt-000075,75,6,Gemini 3 Flash Preview,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,-10,1494,1484,1500,16
mock-44910-42ec35c5-evt-000076,76,6,Claude Haiku 4.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,10,1422,1432,1500,68
mock-44910-42ec35c5-evt-000077,77,6,Grok 4.3,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,-10,1494,1484,1500,16
mock-44910-42ec35c5-evt-000078,78,6,Claude Haiku 4.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,10,1432,1442,1500,58
mock-44910-42ec35c5-evt-000092,92,7,Gemini 3 Flash Preview,buy_property,-120,1484,1364,1500,136
mock-44910-42ec35c5-evt-000106,106,8,Grok 4.3,buy_property,-200,1484,1284,1500,216
mock-44910-42ec35c5-evt-000120,120,9,OpenAI GPT 5.4 Mini,buy_property,-260,1300,1040,1500,460
mock-44910-42ec35c5-evt-000134,134,10,Claude Haiku 4.5,buy_property,-200,1442,1242,1500,258
