turn_index,events
0,10
1,10
2,14
3,14
4,5
5,40
6,26
7,14
8,14
9,7
10,52
11,14
12,14
13,14
14,10
15,7
16,11
17,11
18,11
19,15
20,21
21,38
22,15
23,8
24,8
25,24
26,11
27,14
28,14
29,24
30,34
31,11
32,8
33,15
34,8
35,8
36,14
37,11
38,14
39,12
40,14
41,11
42,11
43,11
44,51
45,31
46,44
47,11
48,11
49,14
50,11
51,36
52,11
53,9
54,19
55,18
56,17
57,10
58,8
59,8
60,19
61,15
62,46
63,10
64,7
65,8
66,6
67,14
68,14
69,7
70,7
71,11
72,11
73,12
74,7
75,19
76,9
77,8
78,21
79,12
80,56
81,118
82,9
83,11
84,11
85,8
86,56
87,11
88,11
89,21
90,10
91,11
92,8
93,15
94,35
95,11
96,8
97,17
98,9
99,23
100,8
101,8
102,10
103,17
104,8
105,19
106,16
107,8
108,8
109,12
110,8
111,8
112,11
113,36
114,18
115,22
116,48
117,8
118,8
119,36
120,6
121,9
122,6
123,7
124,8
125,7
126,7
127,11
128,8
129,23
130,20
131,8
132,17
133,8
134,10
135,17
136,8
137,9
138,11
139,11
140,11
141,28
142,9
143,11
144,10
145,154
146,17
147,24
148,38
149,16
150,23
151,6
152,8
153,8
154,7
155,8
156,11
157,7
158,8
159,31
160,8
161,8
162,11
163,1
