artifact,exists,kind,size_bytes
actions.jsonl,True,file,411774
analysis,True,directory,4246012
artifact_manifest.json,True,file,12140
asset_flow.jsonl,True,file,57309
auction_threads.jsonl,True,file,17199
behavioral_flags.jsonl,True,file,105419
cash_flow.jsonl,True,file,70845
cost_report.json,True,file,3252
decision_index.json,True,file,211400
decisions.jsonl,True,file,30428587
event_hashes.json,True,file,724735
events.jsonl,True,file,1497999
experiment_manifest.json,True,file,3592
failure_findings.jsonl,True,file,51289
failure_summary.json,True,file,678
negotiation_threads.jsonl,True,file,28306
player_timelines.json,True,file,876524
players.json,True,file,1095
pricing_snapshot.json,True,file,407603
prompts,True,directory,16032527
replay_diff.json,True,file,1347
replay_flags.jsonl,True,file,621258
replay_navigation.json,True,file,87404
replay_report.json,True,file,1621
replay_steps.jsonl,True,file,2414140
review_cost_aggregate.json,True,file,1503963
review_cost_calls.jsonl,True,file,724420
review_queue.jsonl,True,file,135193
run_config.json,True,file,2326
scorecard_decisions.jsonl,True,file,270889
scorecard_events.jsonl,True,file,726126
scorecard_players.json,True,file,9678
scorecard.json,True,file,1006400
seat_assignment.json,True,file,993
state,True,directory,5505166
summary.json,True,file,5272
timeline.json,True,file,953340
trace_findings.jsonl,True,file,517538
trace_summary.json,True,file,1444
turn_index.json,True,file,64943
usage_attempts.jsonl,True,file,608452
usage_decisions.jsonl,True,file,449836
usage.json,True,file,3576
