turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,2,0.00281,2559,198,97,2757,4243
1,1,0.001965,1474,191,125,1665,3726
2,2,0.013395,4135,1852,1148,5987,21760
3,1,0.006291,1770,404,298,2174,2513
4,2,0.006307,3695,783,657,4478,16141
5,1,0.003568,2198,382,331,2580,7860
7,1,0.009544,2904,1328,671,4232,13462
8,1,0.010506,2246,793,699,3039,4949
9,2,0.007729,4692,853,716,5545,19254
10,2,0.005878,4405,572,440,4977,7981
11,1,0.009291,3396,1179,640,4575,11489
12,2,0.013846,5271,660,455,5931,4759
14,2,0.00549,4926,399,267,5325,4895
16,1,0.009052,2957,513,410,3470,3403
17,1,0.004529,2543,594,533,3137,13319
18,2,0.005543,5165,371,229,5536,9626
19,2,0.019825,6860,2593,1205,9453,27566
20,2,0.01722,6026,909,680,6935,6017
21,1,0.004333,2664,455,384,3119,9104
22,1,0.002721,2782,141,76,2923,2172
23,1,0.011036,3791,1449,708,5240,15375
24,2,0.016511,6453,759,548,7212,5295
25,3,0.014067,8668,1454,1201,10122,33451
26,1,0.003011,2874,190,123,3064,2872
27,2,0.022051,7556,2899,1544,10455,30431
28,1,0.010545,3562,578,476,4140,5242
29,1,0.00515,3286,632,555,3918,13782
30,2,0.005944,5645,380,262,6025,5958
31,20,0.204003,71016,23311,16026,94327,243465
32,8,0.097108,31734,7032,5598,38766,54727
33,1,0.005794,3767,488,429,4255,10175
34,2,0.006788,6663,398,262,7061,4344
35,1,0.011549,4689,1372,601,6061,15250
36,8,0.109853,35001,8724,6275,43725,72706
37,5,0.067188,21081,6165,5271,27246,47268
38,1,0.005866,4093,515,456,4608,10577
39,6,0.044818,23403,5890,5321,29293,81963
40,1,0.02786,5295,4513,1998,9808,43289
41,2,0.025834,8991,1372,1151,10363,8931
42,3,0.050722,13858,4433,3284,18291,30750
43,1,0.018025,4343,1279,1116,5622,7027
44,2,0.009512,7014,728,574,7742,17784
45,5,0.042817,17463,6454,5867,23917,72817
46,1,0.015365,4740,2125,1056,6865,24063
47,3,0.04659,13389,3545,2948,16934,26348
48,2,0.010706,7432,889,742,8321,19179
49,8,0.086164,30761,9074,7981,39835,84874
50,1,0.016182,5167,2203,983,7370,23712
51,5,0.109723,24605,11944,7252,36549,103020
52,2,0.013852,8127,1746,1547,9873,31036
53,3,0.03726,12117,6089,5781,18206,55438
54,2,0.035363,10383,4996,2289,15379,50521
55,1,0.014157,4656,797,670,5453,4867
56,1,0.005713,4105,636,556,4741,12546
57,1,0.004276,3607,349,280,3956,5453
58,1,0.017662,5072,2518,1243,7590,27737
59,14,0.218532,64110,19778,14566,83888,165672
60,1,0.032046,4948,2736,2566,7684,14857
61,1,0.006814,4495,532,456,5027,12766
62,7,0.099998,31475,10735,9732,42210,100478
63,10,0.106473,43514,10954,7742,54468,135431
64,1,0.012701,5046,1531,789,6577,18398
65,1,0.012914,4889,1605,876,6494,17168
66,1,0.01715,4347,1181,1055,5528,6576
67,1,0.021553,4235,1689,1565,5924,9102
68,1,0.00503,3784,523,437,4307,11729
69,7,0.073234,25682,7215,6227,32897,57106
70,1,0.003094,3465,110,45,3575,2161
71,1,0.01284,4770,1614,734,6384,16462
73,1,0.019092,4268,1410,1268,5678,7343
74,1,0.005218,3861,560,446,4421,11177
75,6,0.083025,22799,10297,9497,33096,87204
76,2,0.024353,9548,2961,1371,12509,33556
77,1,0.019738,4387,1462,1314,5849,8353
78,1,0.007261,3911,1164,1084,5075,22011
79,1,0.006568,3447,885,824,4332,7022
80,1,0.024014,4744,3854,1436,8598,35795
81,1,0.015732,4326,1027,893,5353,5882
82,2,0.026892,8334,1599,1350,9933,9404
84,1,0.006978,3973,1208,1113,5181,23214
85,1,0.005191,3453,578,516,4031,6701
87,2,0.03285,8028,2312,2067,10340,12887
88,1,0.006311,3748,704,643,4452,13859
89,1,0.005258,3673,670,558,4343,13990
90,1,0.012592,3188,2267,2200,5455,17607
91,2,0.028127,8607,3904,1574,12511,43055
92,1,0.018173,4069,1341,1203,5410,7280
93,1,0.005409,3663,547,446,4210,9975
94,1,0.002992,3149,140,72,3289,2380
95,1,0.020167,4432,3147,1418,7579,31758
97,1,0.005091,3687,596,513,4283,12445
98,3,0.047849,10231,6694,6344,16925,47594
99,1,0.015048,4538,2102,799,6640,22671
100,2,0.038169,7824,2937,2663,10761,15610
101,1,0.005605,3820,735,627,4555,14113
102,1,0.005346,3839,622,514,4461,11594
103,3,0.020381,10326,2749,2460,13075,33865
104,1,0.031013,4668,5269,2112,9937,53773
105,1,0.018084,4184,1312,1175,5496,6818
106,1,0.005987,3896,850,738,4746,14668
108,6,0.053743,21419,8335,7698,29754,94850
109,1,0.022646,4746,3580,1357,8326,33639
111,1,0.005449,3521,634,545,4155,15200
112,7,0.096331,26526,13379,12382,39905,120075
113,1,0.014831,4996,1967,1078,6963,20726
114,2,0.037343,8791,2684,2408,11475,14878
115,1,0.004949,3787,301,234,4088,6147
116,1,0.003221,3605,115,47,3720,2912
117,13,0.179492,54007,23231,15186,77238,248849
118,1,0.013343,4668,1735,1106,6403,19081
119,4,0.057556,16269,7864,6860,24133,183492
